date	time	subject	trialcode	trialnum	latency	response
033111	15:00	246	lost	1	16815	PSYCHOLOGY
033111	15:00	246	article	2	11523	ARTICLE
033111	15:00	246	old	3	9300	OLD
033111	15:00	246	prac1	1	10037	2
033111	15:00	246	prac2	2	5391	5
033111	15:00	246	prac4	3	4810	2
033111	15:00	246	prac6	4	4167	3
033111	15:00	246	prac8	5	5458	7
033111	15:00	246	prac5	6	3075	3
033111	15:00	246	prac3	7	3608	2
033111	15:00	246	prac7	8	6993	5
033111	15:00	246	real40	1	5989	2
033111	15:00	246	real47	2	2898	4
033111	15:00	246	real55	3	8194	8
033111	15:00	246	real50	4	4967	8
033111	15:00	246	real5	5	2900	3
033111	15:00	246	real43	6	4062	7
033111	15:00	246	real96	7	4939	3
033111	15:00	246	real49	8	2859	5
033111	15:00	246	real56	9	2989	4
033111	15:00	246	real41	10	3008	6
033111	15:00	246	real68	11	5311	5
033111	15:00	246	real86	12	7235	7
033111	15:00	246	real93	13	3357	3
033111	15:00	246	real44	14	5755	2
033111	15:00	246	real77	15	2240	3
033111	15:00	246	real12	16	2147	2
033111	15:00	246	real85	17	2483	2
033111	15:00	246	real4	18	2447	4
033111	15:00	246	real8	19	2446	4
033111	15:00	246	real90	20	3057	5
033111	15:00	246	real76	21	2889	7
033111	15:00	246	real45	22	2521	7
033111	15:00	246	real69	23	3389	8
033111	15:00	246	real13	24	3481	5
033111	15:00	246	real22	25	3023	9
033111	15:00	246	real19	26	2537	8
033111	15:00	246	real33	27	2552	9
033111	15:00	246	real82	28	1778	9
033111	15:00	246	real53	29	1958	3
033111	15:00	246	real39	30	1049	3
033111	15:00	246	real62	31	1937	4
033111	15:00	246	real42	32	1654	3
033111	15:00	246	real87	33	1842	8
033111	15:00	246	real64	34	2228	7
033111	15:00	246	real88	35	1877	4
033111	15:00	246	real18	36	2543	6
033111	15:00	246	real78	37	2320	3
033111	15:00	246	real61	38	2860	7
033111	15:00	246	real89	39	2390	8
033111	15:00	246	real83	40	4679	8
033111	15:00	246	real1	41	1705	3
033111	15:00	246	real7	42	1952	8
033111	15:00	246	real34	43	2031	3
033111	15:00	246	real38	44	2671	2
033111	15:00	246	real58	45	2337	7
033111	15:00	246	real73	46	2703	5
033111	15:00	246	real11	47	6353	5
033111	15:00	246	real48	48	4167	5
033111	15:00	246	real27	49	3898	8
033111	15:00	246	real79	50	17878	5
033111	15:00	246	real57	51	2882	7
033111	15:00	246	real15	52	3071	5
033111	15:00	246	real10	53	2669	6
033111	15:00	246	real70	54	3110	2
033111	15:00	246	real23	55	3769	8
033111	15:00	246	real37	56	2443	5
033111	15:00	246	real94	57	2847	8
033111	15:00	246	real31	58	1942	8
033111	15:00	246	real67	59	2798	4
033111	15:00	246	real2	60	4242	2
033111	15:00	246	real54	61	2174	2
033111	15:00	246	real6	62	2715	8
033111	15:00	246	real30	63	1840	3
033111	15:00	246	real14	64	4194	5
033111	15:00	246	real71	65	1594	5
033111	15:00	246	real52	66	1913	2
033111	15:00	246	real80	67	2929	8
033111	15:00	246	real59	68	2328	4
033111	15:00	246	real92	69	2255	4
033111	15:00	246	real63	70	2300	8
033111	15:00	246	real32	71	3597	7
033111	15:00	246	real29	72	2404	8
033111	15:00	246	real21	73	4832	5
033111	15:00	246	real66	74	1681	3
033111	15:00	246	real24	75	3931	7
033111	15:00	246	real51	76	2526	8
033111	15:00	246	real9	77	1794	2
033111	15:00	246	real95	78	1993	8
033111	15:00	246	real75	79	4249	5
033111	15:00	246	real81	80	3108	8
033111	15:00	246	real84	81	2415	2
033111	15:00	246	real3	82	2309	5
033111	15:00	246	real20	83	2893	3
033111	15:00	246	real60	84	2317	6
033111	15:00	246	real17	85	1673	7
033111	15:00	246	real25	86	2240	5
033111	15:00	246	real65	87	3099	5
033111	15:00	246	real16	88	1502	7
033111	15:00	246	real91	89	3164	3
033111	15:00	246	real36	90	3533	5
033111	15:00	246	real26	91	1862	5
033111	15:00	246	real72	92	1725	8
033111	15:00	246	real46	93	2247	7
033111	15:00	246	real74	94	2589	8
033111	15:00	246	real28	95	1703	3
033111	15:00	246	real35	96	2518	7
033111	15:00	246	followup2	1	32247	2
033111	15:00	246	followup1	2	14000	3
