date	time	subject	trialcode	trialnum	latency	response
090711	14:42	711	old	1	8521	grandparents
090711	14:42	711	article	2	5112	newspaper
090711	14:42	711	lost	3	7204	kid
090711	14:42	711	prac3	1	5220	5
090711	14:42	711	prac2	2	4500	9
090711	14:42	711	prac4	3	1922	9
090711	14:42	711	prac1	4	3269	4
090711	14:42	711	prac5	1	6221	4
090711	14:42	711	prac7	2	3400	6
090711	14:42	711	prac6	3	9014	6
090711	14:42	711	prac8	4	4744	9
090711	14:42	711	writewords	5	21722	help hate cheddar
090711	14:42	711	real67	1	5606	9
090711	14:42	711	real19	2	5853	9
090711	14:42	711	real64	3	7671	7
090711	14:42	711	writewords	4	7267	scuba north eternity
090711	14:42	711	real59	5	4480	6
090711	14:42	711	real10	6	4249	4
090711	14:42	711	real12	7	6692	8
090711	14:42	711	real79	8	5737	5
090711	14:42	711	real36	9	8002	5
090711	14:42	711	real30	10	14847	5
090711	14:42	711	real11	11	4651	6
090711	14:42	711	writewords	12	24682	spank sport serpent soap swamp 
090711	14:42	711	real5	13	5354	7
090711	14:42	711	real7	14	4069	8
090711	14:42	711	real73	15	7277	8
090711	14:42	711	real89	16	11888	5
090711	14:42	711	writewords	17	7983	pepper money front flesh
090711	14:42	711	real77	18	3655	8
090711	14:42	711	real13	19	5800	9
090711	14:42	711	real86	20	4239	6
090711	14:42	711	real61	21	3240	9
090711	14:42	711	real68	22	17813	9
090711	14:42	711	writewords	23	7558	door fingernail relax pet
090711	14:42	711	real56	24	3784	10
090711	14:42	711	real49	25	5212	9
090711	14:42	711	real40	26	6444	8
090711	14:42	711	writewords	27	5568	add braces wag
090711	14:42	711	real3	28	5716	6
090711	14:42	711	real50	29	5808	10
090711	14:42	711	real87	30	4735	9
090711	14:42	711	real24	31	7278	6
090711	14:42	711	real71	32	15137	9
090711	14:42	711	real46	33	9384	9
090711	14:42	711	writewords	34	11177	sessions boy dad bullet grandpa
090711	14:42	711	real9	35	8553	7
090711	14:42	711	real39	36	3407	10
090711	14:42	711	real52	37	6144	10
090711	14:42	711	real14	38	6493	9
090711	14:42	711	real34	39	5145	10
090711	14:42	711	real33	40	25905	9
090711	14:42	711	writewords	41	14191	marrow bleach math crackle astronaut supper
090711	14:42	711	real76	42	9828	5
090711	14:42	711	real70	43	8286	8
090711	14:42	711	real90	44	3870	9
090711	14:42	711	real78	45	4589	3
090711	14:42	711	real4	46	3655	5
090711	14:42	711	real91	47	2912	6
090711	14:42	711	real22	48	9989	9
090711	14:42	711	writewords	49	13098	forget steal sheriff dolphin
090711	14:42	711	real42	50	6897	9
090711	14:42	711	real27	51	3454	9
090711	14:42	711	real29	52	2719	7
090711	14:42	711	real20	53	1419	10
090711	14:42	711	real72	54	5967	7
090711	14:42	711	real55	55	8366	7
090711	14:42	711	writewords	56	21546	wood laugh negative value woman 
090711	14:42	711	real85	57	5796	7
090711	14:42	711	real8	58	3257	6
090711	14:42	711	real81	59	3361	9
090711	14:42	711	real84	60	5247	6
090711	14:42	711	writewords	61	19479	shark deal father decompose
090711	14:42	711	real82	62	2717	10
090711	14:42	711	real60	63	10834	6
090711	14:42	711	real25	64	7542	8
090711	14:42	711	real51	65	5287	9
090711	14:42	711	writewords	66	6719	cream rain guest enjoy
090711	14:42	711	real43	67	4182	10
090711	14:42	711	real88	68	5116	10
090711	14:42	711	real28	69	4678	9
090711	14:42	711	writewords	70	4810	air smear tribe
090711	14:42	711	real17	71	2956	8
090711	14:42	711	real1	72	3626	7
090711	14:42	711	real26	73	10878	9
090711	14:42	711	real23	74	5589	10
090711	14:42	711	writewords	75	7523	buyer fawn clean planet
090711	14:42	711	real35	76	7084	10
090711	14:42	711	real65	77	5439	8
090711	14:42	711	real18	78	5509	10
090711	14:42	711	writewords	79	6947	toss sell vacuum
090711	14:42	711	real95	80	5328	9
090711	14:42	711	real44	81	4694	8
090711	14:42	711	real37	82	4605	9
090711	14:42	711	real93	83	5657	10
090711	14:42	711	real62	84	15250	8
090711	14:42	711	real41	85	1495	9
090711	14:42	711	writewords	86	8446	sneaker fell fairytale cub
090711	14:42	711	real80	87	2900	10
090711	14:42	711	real75	88	3718	7
090711	14:42	711	real66	89	5261	8
090711	14:42	711	writewords	90	6512	jet shortcake boat
090711	14:42	711	real54	91	2836	10
090711	14:42	711	real74	92	4865	10
090711	14:42	711	real47	93	3224	9
090711	14:42	711	real63	94	4147	8
090711	14:42	711	real58	95	2824	8
090711	14:42	711	writewords	96	8173	baby question rage work fuel
090711	14:42	711	real48	97	9722	9
090711	14:42	711	real21	98	7038	10
090711	14:42	711	real53	99	4801	2
090711	14:42	711	real2	100	9997	5
090711	14:42	711	real6	101	1895	7
090711	14:42	711	real69	102	1212	8
090711	14:42	711	writewords	103	8986	reject go snail nut 
090711	14:42	711	real96	104	2588	9
090711	14:42	711	real16	105	1462	8
090711	14:42	711	real94	106	7522	7
090711	14:42	711	real83	107	6957	9
090711	14:42	711	real38	108	9079	9
090711	14:42	711	real32	109	5727	9
090711	14:42	711	real92	110	1030	5
090711	14:42	711	writewords	111	26262	insight request nail hurt flower companion
090711	14:42	711	real31	112	6293	9
090711	14:42	711	real57	113	2160	7
090711	14:42	711	real15	114	8235	5
090711	14:42	711	real45	115	5616	7
090711	14:42	711	writewords	116	6092	kick robin ten vary
090711	14:42	711	followup1	1	13357	4
090711	14:42	711	followup2	2	21323	1
