date	time	subject	trialcode	trialnum	latency	response
101811	13:27	246	lost	1	28005	unfound
101811	13:27	246	old	2	7148	grandpa
101811	13:27	246	article	3	12172	magazine
101811	13:27	246	prac3	1	21521	3
101811	13:27	246	prac2	2	4178	4
101811	13:27	246	prac4	3	3251	6
101811	13:27	246	prac1	4	5147	1
101811	13:27	246	prac8	1	3457	1
101811	13:27	246	prac5	2	3271	3
101811	13:27	246	prac7	3	2237	9
101811	13:27	246	prac6	4	3910	4
101811	13:27	246	writewords	5	6193	califlower
101811	13:27	246	real19	1	4757	10
101811	13:27	246	real67	2	3604	8
101811	13:27	246	real64	3	3775	9
101811	13:27	246	writewords	4	8296	north
101811	13:27	246	real30	5	2369	2
101811	13:27	246	real36	6	2292	5
101811	13:27	246	real11	7	2570	9
101811	13:27	246	real59	8	3157	7
101811	13:27	246	real79	9	3311	2
101811	13:27	246	real10	10	2588	1
101811	13:27	246	real12	11	6086	9
101811	13:27	246	writewords	12	3360	full
101811	13:27	246	real7	13	5036	3
101811	13:27	246	real73	14	1722	5
101811	13:27	246	real5	15	2128	9
101811	13:27	246	real89	16	2397	7
101811	13:27	246	writewords	17	3791	money
101811	13:27	246	real86	18	4648	2
101811	13:27	246	real68	19	2974	8
101811	13:27	246	real13	20	15776	6
101811	13:27	246	real61	21	2469	8
101811	13:27	246	real77	22	8339	3
101811	13:27	246	writewords	23	3506	front
101811	13:27	246	real40	24	3711	7
101811	13:27	246	real49	25	4347	5
101811	13:27	246	real56	26	7269	6
101811	13:27	246	writewords	27	3127	wag
101811	13:27	246	real3	28	5428	3
101811	13:27	246	real46	29	2562	10
101811	13:27	246	real50	30	1637	10
101811	13:27	246	real87	31	1150	10
101811	13:27	246	real24	32	2259	10
101811	13:27	246	real71	33	4243	10
101811	13:27	246	writewords	34	4105	session
101811	13:27	246	real9	35	3766	10
101811	13:27	246	real39	36	2752	2
101811	13:27	246	real33	37	4291	3
101811	13:27	246	real14	38	5999	5
101811	13:27	246	real34	39	3070	10
101811	13:27	246	real52	40	2236	10
101811	13:27	246	writewords	41	4292	marrow
101811	13:27	246	real4	42	3745	5
101811	13:27	246	real22	43	4428	2
101811	13:27	246	real76	44	7250	7
101811	13:27	246	real91	45	4189	3
101811	13:27	246	real90	46	2654	4
101811	13:27	246	real70	47	3269	1
101811	13:27	246	real78	48	3292	1
101811	13:27	246	writewords	49	3096	high
101811	13:27	246	real29	50	3215	6
101811	13:27	246	real27	51	1672	5
101811	13:27	246	real42	52	3191	2
101811	13:27	246	real55	53	1625	10
101811	13:27	246	real20	54	5554	2
101811	13:27	246	real72	55	3155	5
101811	13:27	246	writewords	56	6013	negative
101811	13:27	246	real81	57	4172	6
101811	13:27	246	real85	58	3269	6
101811	13:27	246	real84	59	3132	7
101811	13:27	246	real8	60	2136	8
101811	13:27	246	writewords	61	3372	father
101811	13:27	246	real51	62	2103	2
101811	13:27	246	real60	63	2349	1
101811	13:27	246	real82	64	2009	3
101811	13:27	246	real25	65	2331	1
101811	13:27	246	writewords	66	4191	like
101811	13:27	246	real28	67	2929	8
101811	13:27	246	real43	68	2893	4
101811	13:27	246	real88	69	2995	3
101811	13:27	246	writewords	70	4876	tribe
101811	13:27	246	real17	71	3121	6
101811	13:27	246	real26	72	2605	10
101811	13:27	246	real1	73	1935	10
101811	13:27	246	real23	74	3315	10
101811	13:27	246	writewords	75	10079	clean
101811	13:27	246	real35	76	3375	7
101811	13:27	246	real18	77	4233	9
101811	13:27	246	real65	78	2984	6
101811	13:27	246	writewords	79	3065	toss
101811	13:27	246	real62	80	2562	6
101811	13:27	246	real41	81	2453	6
101811	13:27	246	real95	82	3372	9
101811	13:27	246	real44	83	5190	3
101811	13:27	246	real93	84	2653	9
101811	13:27	246	real37	85	2813	10
101811	13:27	246	writewords	86	4173	scream
101811	13:27	246	real66	87	3288	2
101811	13:27	246	real80	88	1685	6
101811	13:27	246	real75	89	4364	10
101811	13:27	246	writewords	90	3269	boat
101811	13:27	246	real63	91	4372	4
101811	13:27	246	real58	92	2100	10
101811	13:27	246	real54	93	3427	8
101811	13:27	246	real47	94	1635	10
101811	13:27	246	real74	95	1732	7
101811	13:27	246	writewords	96	3001	work
101811	13:27	246	real48	97	4524	7
101811	13:27	246	real21	98	2462	6
101811	13:27	246	real69	99	1774	8
101811	13:27	246	real53	100	4985	1
101811	13:27	246	real6	101	2305	9
101811	13:27	246	real2	102	1759	9
101811	13:27	246	writewords	103	5155	regect
101811	13:27	246	real83	104	6020	7
101811	13:27	246	real38	105	4250	3
101811	13:27	246	real96	106	3504	4
101811	13:27	246	real32	107	2557	4
101811	13:27	246	real92	108	1928	8
101811	13:27	246	real16	109	3125	7
101811	13:27	246	real94	110	2081	9
101811	13:27	246	writewords	111	5376	companion
101811	13:27	246	real31	112	2929	10
101811	13:27	246	real15	113	2181	8
101811	13:27	246	real45	114	2576	4
101811	13:27	246	real57	115	2459	10
101811	13:27	246	writewords	116	2874	kick
101811	13:27	246	followup1	1	22991	3
101811	13:27	246	followup4	2	20804	4
101811	13:27	246	followup3	3	16188	2
101811	13:27	246	followup2	4	12896	1
