date	time	subject	trialcode	trialnum	latency	response
022312	14:04	208	lost	1	47825	the show
022312	14:04	208	magazine	2	19251	sports
022312	14:04	208	old	3	21626	woman
022312	14:04	208	prac3	1	5673	4
022312	14:04	208	prac1	2	6717	3
022312	14:04	208	prac2	3	4022	9
022312	14:04	208	prac4	4	3061	5
022312	14:04	208	prac6	1	10291	5
022312	14:04	208	prac7	2	4810	4
022312	14:04	208	prac8	3	2808	7
022312	14:04	208	prac5	4	2642	8
022312	14:04	208	writewords	5	87993	corn, hate, chadder 
022312	14:04	208	real78	1	5354	3
022312	14:04	208	real56	2	3315	8
022312	14:04	208	real24	3	3215	7
022312	14:04	208	writewords	4	15592	guard, add, steps
022312	14:04	208	real94	5	9501	6
022312	14:04	208	real11	6	2764	6
022312	14:04	208	real81	7	3151	10
022312	14:04	208	writewords	8	13618	hurt, death, father
022312	14:04	208	real57	9	9800	3
022312	14:04	208	real69	10	3091	9
022312	14:04	208	real1	11	2792	8
022312	14:04	208	writewords	12	20497	robin, here, forin
022312	14:04	208	real19	13	9902	9
022312	14:04	208	real95	14	6468	6
022312	14:04	208	real65	15	4919	6
022312	14:04	208	real41	16	4186	9
022312	14:04	208	real3	17	3682	5
022312	14:04	208	real13	18	3736	4
022312	14:04	208	real70	19	2491	5
022312	14:04	208	writewords	20	26985	north, sneaker, 
022312	14:04	208	real34	21	10107	3
022312	14:04	208	real23	22	2897	6
022312	14:04	208	real48	23	4438	3
022312	14:04	208	real15	24	6061	7
022312	14:04	208	real88	25	2504	8
022312	14:04	208	writewords	26	53037	ten, 
022312	14:04	208	real72	27	12746	4
022312	14:04	208	real52	28	5948	4
022312	14:04	208	real45	29	2748	5
022312	14:04	208	real51	30	4744	8
022312	14:04	208	real53	31	2481	4
022312	14:04	208	real21	32	2304	7
022312	14:04	208	real79	33	7550	7
022312	14:04	208	writewords	34	23076	value, math, very, go, soap
022312	14:04	208	real77	35	3638	5
022312	14:04	208	real5	36	2437	8
022312	14:04	208	real39	37	2773	6
022312	14:04	208	real49	38	4360	8
022312	14:04	208	real74	39	2969	10
022312	14:04	208	real25	40	3532	8
022312	14:04	208	writewords	41	34463	papper, question, guest
022312	14:04	208	real10	42	6910	4
022312	14:04	208	real17	43	7983	9
022312	14:04	208	real64	44	6420	8
022312	14:04	208	real66	45	1481	6
022312	14:04	208	real28	46	3320	6
022312	14:04	208	real89	47	2868	5
022312	14:04	208	writewords	48	80875	buyer, 
022312	14:04	208	real68	49	5425	6
022312	14:04	208	real35	50	7487	6
022312	14:04	208	real32	51	6744	7
022312	14:04	208	real75	52	6280	3
022312	14:04	208	writewords	53	17498	pet, flower, shortcake
022312	14:04	208	real71	54	14106	6
022312	14:04	208	real90	55	4067	6
022312	14:04	208	real4	56	3033	10
022312	14:04	208	real6	57	1449	10
022312	14:04	208	real37	58	2778	8
022312	14:04	208	real87	59	1669	10
022312	14:04	208	writewords	60	31228	boy, male, fiarytale
022312	14:04	208	real40	61	4736	8
022312	14:04	208	real61	62	3002	10
022312	14:04	208	real92	63	1803	10
022312	14:04	208	real60	64	1358	10
022312	14:04	208	real22	65	2322	9
022312	14:04	208	writewords	66	25391	rain, world, 
022312	14:04	208	real42	67	7658	6
022312	14:04	208	real26	68	5924	8
022312	14:04	208	real82	69	4037	8
022312	14:04	208	real9	70	4764	9
022312	14:04	208	writewords	71	13229	wood, clean, cream
022312	14:04	208	real84	72	10307	5
022312	14:04	208	real50	73	3641	5
022312	14:04	208	real38	74	2616	6
022312	14:04	208	real44	75	3017	9
022312	14:04	208	real85	76	2978	8
022312	14:04	208	real30	77	2804	10
022312	14:04	208	real14	78	2350	8
022312	14:04	208	writewords	79	48921	mom, direction
022312	14:04	208	real80	80	5463	7
022312	14:04	208	real86	81	3211	9
022312	14:04	208	real36	82	2900	7
022312	14:04	208	writewords	83	9065	jet, relax
022312	14:04	208	real55	84	2730	10
022312	14:04	208	real63	85	2975	9
022312	14:04	208	real46	86	2313	10
022312	14:04	208	real62	87	2543	10
022312	14:04	208	real33	88	6419	8
022312	14:04	208	writewords	89	16832	women, work, grandpa, scream
022312	14:04	208	real83	90	18731	8
022312	14:04	208	real31	91	3271	8
022312	14:04	208	real73	92	2181	10
022312	14:04	208	real76	93	3232	9
022312	14:04	208	real20	94	2808	9
022312	14:04	208	writewords	95	19312	copanion, kick, can
022312	14:04	208	real2	96	6885	7
022312	14:04	208	real58	97	9183	10
022312	14:04	208	real8	98	2979	7
022312	14:04	208	real96	99	1365	8
022312	14:04	208	writewords	100	11706	nat, fuel, 
022312	14:04	208	real27	101	4143	10
022312	14:04	208	real91	102	2201	8
022312	14:04	208	real47	103	3603	8
022312	14:04	208	real54	104	2980	8
022312	14:04	208	real12	105	3550	8
022312	14:04	208	real43	106	1553	7
022312	14:04	208	writewords	107	14925	baby, sinpiner, air
022312	14:04	208	real93	108	3486	8
022312	14:04	208	real67	109	1476	8
022312	14:04	208	real16	110	2388	7
022312	14:04	208	writewords	111	7294	cub, scoba
022312	14:04	208	real7	112	10096	10
022312	14:04	208	real59	113	7142	8
022312	14:04	208	real29	114	1749	8
022312	14:04	208	real18	115	2626	7
022312	14:04	208	writewords	116	48746	money cabuum
022312	14:04	208	followup1	1	38456	4
022312	14:04	208	followup2	2	21579	2
