date	time	subject	trialcode	trialnum	latency	response
030112	17:26	111	article	1	6523	newspaper
030112	17:26	111	old	2	4654	new
030112	17:26	111	lost	3	5179	stolen
030112	17:26	111	prac5	1	12466	5
030112	17:26	111	prac3	2	8727	4
030112	17:26	111	prac7	3	5485	3
030112	17:26	111	prac1	4	3456	3
030112	17:26	111	prac4	5	2447	4
030112	17:26	111	prac8	6	6055	9
030112	17:26	111	prac2	7	4187	6
030112	17:26	111	prac6	8	6772	4
030112	17:26	111	real9	1	6977	6
030112	17:26	111	real81	2	6135	7
030112	17:26	111	real44	3	4736	5
030112	17:26	111	real53	4	7362	1
030112	17:26	111	real70	5	5544	2
030112	17:26	111	real19	6	2825	7
030112	17:26	111	real16	7	4370	3
030112	17:26	111	real7	8	4051	3
030112	17:26	111	real42	9	3641	3
030112	17:26	111	real47	10	2544	4
030112	17:26	111	real79	11	6140	2
030112	17:26	111	real86	12	4837	2
030112	17:26	111	real52	13	3235	5
030112	17:26	111	real46	14	2803	8
030112	17:26	111	real71	15	2940	5
030112	17:26	111	real66	16	7736	4
030112	17:26	111	real62	17	3783	6
030112	17:26	111	real11	18	4624	6
030112	17:26	111	real89	19	3535	7
030112	17:26	111	real31	20	12138	2
030112	17:26	111	real82	21	8372	1
030112	17:26	111	real35	22	2713	3
030112	17:26	111	real6	23	3486	8
030112	17:26	111	real33	24	6804	4
030112	17:26	111	real84	25	4377	3
030112	17:26	111	real49	26	4538	6
030112	17:26	111	real54	27	6788	2
030112	17:26	111	real32	28	5186	3
030112	17:26	111	real73	29	3090	6
030112	17:26	111	real18	30	5487	3
030112	17:26	111	real37	31	4931	8
030112	17:26	111	real17	32	2261	7
030112	17:26	111	real75	33	2909	8
030112	17:26	111	real15	34	4562	5
030112	17:26	111	real58	35	3067	4
030112	17:26	111	real94	36	2306	6
030112	17:26	111	real91	37	3744	4
030112	17:26	111	real43	38	4666	6
030112	17:26	111	real96	39	2888	3
030112	17:26	111	real61	40	2981	8
030112	17:26	111	real2	41	3791	4
030112	17:26	111	real69	42	4184	4
030112	17:26	111	real21	43	4033	4
030112	17:26	111	real10	44	12224	2
030112	17:26	111	real85	45	6655	3
030112	17:26	111	real24	46	10027	3
030112	17:26	111	real59	47	6052	1
030112	17:26	111	real76	48	5025	2
030112	17:26	111	real90	49	5710	2
030112	17:26	111	real34	50	2616	6
030112	17:26	111	real80	51	1850	5
030112	17:26	111	real95	52	2514	7
030112	17:26	111	real55	53	2344	9
030112	17:26	111	real50	54	1172	9
030112	17:26	111	real27	55	4048	4
030112	17:26	111	real64	56	4511	8
030112	17:26	111	real5	57	2450	8
030112	17:26	111	real57	58	2130	8
030112	17:26	111	real36	59	2904	4
030112	17:26	111	real8	60	3613	3
030112	17:26	111	real28	61	3013	8
030112	17:26	111	real3	62	5238	2
030112	17:26	111	real38	63	8756	6
030112	17:26	111	real45	64	3841	4
030112	17:26	111	real13	65	5560	6
030112	17:26	111	real14	66	2880	4
030112	17:26	111	real68	67	2990	8
030112	17:26	111	real39	68	4360	8
030112	17:26	111	real74	69	1465	8
030112	17:26	111	real40	70	3434	3
030112	17:26	111	real1	71	1209	4
030112	17:26	111	real88	72	4572	2
030112	17:26	111	real12	73	3397	9
030112	17:26	111	real56	74	1534	9
030112	17:26	111	real22	75	3852	3
030112	17:26	111	real4	76	2243	9
030112	17:26	111	real93	77	3379	4
030112	17:26	111	real83	78	3461	4
030112	17:26	111	real48	79	3411	4
030112	17:26	111	real72	80	1380	4
030112	17:26	111	real65	81	2424	3
030112	17:26	111	real67	82	3705	4
030112	17:26	111	real29	83	2181	6
030112	17:26	111	real26	84	4912	2
030112	17:26	111	real92	85	4147	8
030112	17:26	111	real51	86	2621	5
030112	17:26	111	real60	87	3686	4
030112	17:26	111	real23	88	2771	3
030112	17:26	111	real25	89	2702	3
030112	17:26	111	real77	90	2300	2
030112	17:26	111	real30	91	2730	3
030112	17:26	111	real87	92	1942	8
030112	17:26	111	real63	93	3099	4
030112	17:26	111	real78	94	2169	4
030112	17:26	111	real41	95	1916	8
030112	17:26	111	real20	96	4810	2
030112	17:26	111	followup2	1	27097	1
030112	17:26	111	followup1	2	20021	3
