date	time	subject	trialcode	trialnum	latency	response
020912	17:59	406	lost	1	16613	shipwrecked
020912	17:59	406	old	2	4264	age
020912	17:59	406	magazine	3	7478	article
020912	17:59	406	prac2	1	11879	7
020912	17:59	406	prac4	2	8476	4
020912	17:59	406	prac1	3	11412	1
020912	17:59	406	prac3	4	4652	4
020912	17:59	406	prac7	1	7447	6
020912	17:59	406	prac8	2	8529	10
020912	17:59	406	prac6	3	6397	7
020912	17:59	406	prac5	4	11453	5
020912	17:59	406	writewords	5	56579	Hate, Horse, Sister, Cheddar, Corn, 
020912	17:59	406	real12	1	10485	8
020912	17:59	406	real78	2	6883	4
020912	17:59	406	real22	3	4973	6
020912	17:59	406	real72	4	11109	3
020912	17:59	406	real81	5	9970	10
020912	17:59	406	real3	6	13341	4
020912	17:59	406	real25	7	8726	3
020912	17:59	406	writewords	8	33892	Serpent, World, Value, Father, Session, 
020912	17:59	406	real32	9	11666	4
020912	17:59	406	real20	10	5560	9
020912	17:59	406	real4	11	2424	9
020912	17:59	406	real14	12	1785	10
020912	17:59	406	real53	13	7307	2
020912	17:59	406	real52	14	2596	7
020912	17:59	406	real49	15	3358	9
020912	17:59	406	writewords	16	30464	Flower, Can, Snail, Braces
020912	17:59	406	real58	17	5459	10
020912	17:59	406	real45	18	3200	6
020912	17:59	406	real70	19	3841	6
020912	17:59	406	writewords	20	15743	Gas, Steal
020912	17:59	406	real87	21	5823	10
020912	17:59	406	real94	22	5716	9
020912	17:59	406	real96	23	4182	5
020912	17:59	406	real19	24	14639	10
020912	17:59	406	real92	25	6290	10
020912	17:59	406	writewords	26	14947	Boy, Hurt, Insight, North, Uncle
020912	17:59	406	real51	27	4020	6
020912	17:59	406	real76	28	8948	10
020912	17:59	406	real85	29	4921	5
020912	17:59	406	real84	30	6348	6
020912	17:59	406	real35	31	6763	7
020912	17:59	406	real86	32	5866	8
020912	17:59	406	writewords	33	19398	Like, Forget, Shark, Decomposes, Toss, Relax
020912	17:59	406	real79	34	3615	7
020912	17:59	406	real47	35	7447	9
020912	17:59	406	real55	36	4594	10
020912	17:59	406	real80	37	3586	7
020912	17:59	406	real56	38	6948	10
020912	17:59	406	writewords	39	14539	Soap, Rage, Woman, Jet, Add
020912	17:59	406	real41	40	3011	10
020912	17:59	406	real29	41	2580	10
020912	17:59	406	real36	42	3759	8
020912	17:59	406	writewords	43	9129	Slow, Negative, Swamp
020912	17:59	406	real57	44	4743	6
020912	17:59	406	real66	45	4393	8
020912	17:59	406	real93	46	4441	9
020912	17:59	406	real31	47	3359	5
020912	17:59	406	real9	48	3514	9
020912	17:59	406	real27	49	5582	8
020912	17:59	406	writewords	50	13269	Robin, Boat, Cub, Kick, Marrow, Laugh
020912	17:59	406	real18	51	7610	8
020912	17:59	406	real16	52	6862	7
020912	17:59	406	real65	53	5008	6
020912	17:59	406	writewords	54	18311	Vaccuum, Request, Cell
020912	17:59	406	real89	55	3997	8
020912	17:59	406	real43	56	4949	8
020912	17:59	406	real10	57	5383	4
020912	17:59	406	real62	58	4486	8
020912	17:59	406	real75	59	4819	7
020912	17:59	406	writewords	60	13399	Flesh, Air, Sport, Scream, Shortcake
020912	17:59	406	real24	61	4665	6
020912	17:59	406	real6	62	2358	10
020912	17:59	406	real54	63	3058	9
020912	17:59	406	real91	64	5256	9
020912	17:59	406	writewords	65	11532	Step, Male, Baby, Dolphin
020912	17:59	406	real71	66	5321	10
020912	17:59	406	real88	67	3059	6
020912	17:59	406	real48	68	3978	7
020912	17:59	406	real73	69	2179	10
020912	17:59	406	writewords	70	10665	Bullet, Smear, Reject, Front
020912	17:59	406	real64	71	3301	9
020912	17:59	406	real28	72	3771	10
020912	17:59	406	real8	73	3619	7
020912	17:59	406	real63	74	3756	9
020912	17:59	406	writewords	75	12933	Eternity, Tribe, Tissue, Work
020912	17:59	406	real30	76	3928	10
020912	17:59	406	real60	77	3187	7
020912	17:59	406	real2	78	4877	6
020912	17:59	406	real15	79	3353	10
020912	17:59	406	real61	80	2123	10
020912	17:59	406	real39	81	3609	8
020912	17:59	406	writewords	82	12240	Full, Rain, Nut, Ten, Bleach
020912	17:59	406	real74	83	2000	10
020912	17:59	406	real1	84	4666	7
020912	17:59	406	real13	85	8712	7
020912	17:59	406	writewords	86	8054	Question, Fawn, Fingernail
020912	17:59	406	real46	87	2049	10
020912	17:59	406	real38	88	2930	8
020912	17:59	406	real77	89	5854	9
020912	17:59	406	real34	90	3962	8
020912	17:59	406	real83	91	5788	6
020912	17:59	406	real33	92	4355	5
020912	17:59	406	real40	93	8605	9
020912	17:59	406	writewords	94	41648	Grandpa, Nail, Door, Astronaut, Companion, Dinn
020912	17:59	406	real67	95	9256	8
020912	17:59	406	real37	96	5193	9
020912	17:59	406	real26	97	3944	8
020912	17:59	406	real44	98	8971	7
020912	17:59	406	writewords	99	10263	Scuba, Fairytale, Clean, Direction
020912	17:59	406	real23	100	4015	9
020912	17:59	406	real90	101	3142	8
020912	17:59	406	real7	102	3082	9
020912	17:59	406	real50	103	2000	10
020912	17:59	406	real11	104	6275	8
020912	17:59	406	writewords	105	15277	Planet, Sheriff, Money, Dad, Death
020912	17:59	406	real21	106	2984	10
020912	17:59	406	real42	107	2722	7
020912	17:59	406	real5	108	1918	10
020912	17:59	406	writewords	109	7644	Go, Wood, Pepper
020912	17:59	406	real59	110	3791	8
020912	17:59	406	real82	111	3016	9
020912	17:59	406	real95	112	3129	10
020912	17:59	406	real69	113	4197	10
020912	17:59	406	real68	114	4805	7
020912	17:59	406	real17	115	14468	8
020912	17:59	406	writewords	116	26318	Spank, Cream, Tennisshoe, Pet, Buyer
020912	17:59	406	followup4	1	16306	1
020912	17:59	406	followup1	2	9465	3
020912	17:59	406	followup3	3	11130	1
020912	17:59	406	followup2	4	5702	1
