date	time	subject	trialcode	trialnum	latency	response
033111	15:01	245	lost	1	5345	found
033111	15:01	245	old	2	4763	young
033111	15:01	245	article	3	4269	clothing
033111	15:01	245	prac2	1	17556	8
033111	15:01	245	prac4	2	7663	3
033111	15:01	245	prac1	3	10953	2
033111	15:01	245	prac3	4	7068	3
033111	15:01	245	prac5	1	9885	2
033111	15:01	245	prac8	2	4908	7
033111	15:01	245	prac6	3	4463	8
033111	15:01	245	prac7	4	4300	2
033111	15:01	245	writewords	5	10751	help
033111	15:01	245	real89	1	7649	3
033111	15:01	245	real51	2	6284	4
033111	15:01	245	real30	3	4551	9
033111	15:01	245	writewords	4	27839	full, like
033111	15:01	245	real63	5	9423	3
033111	15:01	245	real1	6	5473	5
033111	15:01	245	real62	7	4948	5
033111	15:01	245	real22	8	5238	7
033111	15:01	245	real49	9	5532	8
033111	15:01	245	real72	10	8053	6
033111	15:01	245	real76	11	8799	4
033111	15:01	245	writewords	12	28681	work, fawn, world
033111	15:01	245	real7	13	5254	1
033111	15:01	245	real73	14	5139	9
033111	15:01	245	real55	15	6476	9
033111	15:01	245	real71	16	5663	9
033111	15:01	245	writewords	17	9674	money, front, woman, bullet
033111	15:01	245	real52	18	6283	5
033111	15:01	245	real19	19	3886	9
033111	15:01	245	real37	20	9067	4
033111	15:01	245	real44	21	7915	3
033111	15:01	245	real84	22	4275	6
033111	15:01	245	writewords	23	18790	fairytale, decompose
033111	15:01	245	real91	24	8089	2
033111	15:01	245	real39	25	7322	4
033111	15:01	245	real26	26	10074	2
033111	15:01	245	writewords	27	9024	dolphin, bleach, clean
033111	15:01	245	real67	28	15908	10
033111	15:01	245	real80	29	9051	4
033111	15:01	245	real77	30	4740	9
033111	15:01	245	real32	31	8278	3
033111	15:01	245	real70	32	11279	3
033111	15:01	245	real46	33	5540	8
033111	15:01	245	writewords	34	12436	scuba, jet, door, flower, steal, grandpa
033111	15:01	245	real56	35	4259	7
033111	15:01	245	real50	36	5393	10
033111	15:01	245	real41	37	5344	8
033111	15:01	245	real60	38	7105	4
033111	15:01	245	real13	39	8962	5
033111	15:01	245	real65	40	8838	3
033111	15:01	245	real16	41	8520	2
033111	15:01	245	writewords	42	17366	add, dad, fingernail, cell, request
033111	15:01	245	real18	43	5339	4
033111	15:01	245	real25	44	5972	4
033111	15:01	245	real66	45	4523	5
033111	15:01	245	real10	46	6558	1
033111	15:01	245	real87	47	7285	9
033111	15:01	245	real74	48	4103	10
033111	15:01	245	writewords	49	13842	vacuum, guest, sport, boy, question
033111	15:01	245	real9	50	4240	7
033111	15:01	245	real17	51	6830	8
033111	15:01	245	real47	52	6674	6
033111	15:01	245	real58	53	2980	9
033111	15:01	245	writewords	54	6718	marrow, buy, rage, fuel
033111	15:01	245	real33	55	6392	3
033111	15:01	245	real69	56	4638	8
033111	15:01	245	real88	57	6604	2
033111	15:01	245	real54	58	3537	4
033111	15:01	245	writewords	59	8163	dinner, here, smear, baby
033111	15:01	245	real8	60	4154	1
033111	15:01	245	real68	61	4964	4
033111	15:01	245	real29	62	7405	9
033111	15:01	245	writewords	63	5841	tissue, pet, negative
033111	15:01	245	real21	64	3279	8
033111	15:01	245	real27	65	6084	4
033111	15:01	245	real5	66	2727	9
033111	15:01	245	real34	67	6372	5
033111	15:01	245	writewords	68	8162	go, laugh, astronaut
033111	15:01	245	real4	69	3449	8
033111	15:01	245	real57	70	5896	6
033111	15:01	245	real11	71	5362	3
033111	15:01	245	writewords	72	5306	high, robin, death
033111	15:01	245	real38	73	5150	9
033111	15:01	245	real36	74	3887	5
033111	15:01	245	real86	75	4988	2
033111	15:01	245	real2	76	8260	3
033111	15:01	245	real79	77	7365	3
033111	15:01	245	real15	78	8507	3
033111	15:01	245	writewords	79	18137	nail, swamp, relax, nut
033111	15:01	245	real40	80	4455	6
033111	15:01	245	real82	81	11060	3
033111	15:01	245	real83	82	3771	3
033111	15:01	245	writewords	83	6899	wag, cream, companion
033111	15:01	245	real6	84	4654	10
033111	15:01	245	real24	85	10619	5
033111	15:01	245	real3	86	3636	2
033111	15:01	245	real14	87	5443	6
033111	15:01	245	real31	88	7600	2
033111	15:01	245	writewords	89	12540	male, steps, session, crackle, kick
033111	15:01	245	real75	90	7127	4
033111	15:01	245	real12	91	4959	8
033111	15:01	245	real95	92	9352	8
033111	15:01	245	real20	93	3164	9
033111	15:01	245	real64	94	5983	8
033111	15:01	245	real78	95	3214	1
033111	15:01	245	writewords	96	15022	shortcake, serpent, sneaker, guard
033111	15:01	245	real59	97	6171	2
033111	15:01	245	real42	98	4139	2
033111	15:01	245	real90	99	3093	5
033111	15:01	245	real96	100	9154	2
033111	15:01	245	real81	101	4719	9
033111	15:01	245	real45	102	8450	6
033111	15:01	245	real43	103	5132	8
033111	15:01	245	writewords	104	18117	spank, wood, sheriff, insight, air
033111	15:01	245	real48	105	8195	3
033111	15:01	245	real92	106	3023	9
033111	15:01	245	real28	107	7112	4
033111	15:01	245	real94	108	8784	5
033111	15:01	245	real23	109	5060	8
033111	15:01	245	writewords	110	10816	reject, aunt, tribe, hurt
033111	15:01	245	real85	111	6186	3
033111	15:01	245	real53	112	3032	1
033111	15:01	245	real61	113	3137	10
033111	15:01	245	real93	114	4548	7
033111	15:01	245	real35	115	5710	3
033111	15:01	245	writewords	116	7335	shark, snail, good, cub, toss
033111	15:01	245	followup2	1	23311	1
033111	15:01	245	followup1	2	17063	3
