date	time	subject	trialcode	trialnum	latency	response
030311	13:01	210	article	1	13361	newspaper
030311	13:01	210	old	2	12291	grandma
030311	13:01	210	lost	3	10464	missing
030311	13:01	210	prac2	1	19208	5
030311	13:01	210	prac5	2	12169	2
030311	13:01	210	prac6	3	9659	3
030311	13:01	210	prac1	4	5860	2
030311	13:01	210	prac4	5	5960	3
030311	13:01	210	prac7	6	5712	3
030311	13:01	210	prac3	7	5571	2
030311	13:01	210	prac8	8	7427	7
030311	13:01	210	real46	1	7104	3
030311	13:01	210	real96	2	7514	3
030311	13:01	210	real29	3	4155	6
030311	13:01	210	real50	4	7437	4
030311	13:01	210	real90	5	6689	3
030311	13:01	210	real31	6	4092	8
030311	13:01	210	real58	7	4512	8
030311	13:01	210	real13	8	5588	6
030311	13:01	210	real40	9	6763	8
030311	13:01	210	real83	10	2491	9
030311	13:01	210	real88	11	3537	9
030311	13:01	210	real73	12	3236	6
030311	13:01	210	real65	13	3108	9
030311	13:01	210	real52	14	7105	4
030311	13:01	210	real71	15	4827	9
030311	13:01	210	real59	16	5089	8
030311	13:01	210	real39	17	4085	6
030311	13:01	210	real23	18	4035	8
030311	13:01	210	real32	19	5362	3
030311	13:01	210	real67	20	10947	8
030311	13:01	210	real27	21	7039	3
030311	13:01	210	real45	22	5523	8
030311	13:01	210	real26	23	7285	3
030311	13:01	210	real22	24	8791	2
030311	13:01	210	real25	25	7475	8
030311	13:01	210	real12	26	4062	9
030311	13:01	210	real9	27	2788	9
030311	13:01	210	real74	28	9318	6
030311	13:01	210	real28	29	3533	8
030311	13:01	210	real5	30	16392	6
030311	13:01	210	real44	31	5686	6
030311	13:01	210	real55	32	6418	6
030311	13:01	210	real8	33	4079	8
030311	13:01	210	real38	34	3565	9
030311	13:01	210	real63	35	4951	2
030311	13:01	210	real47	36	8833	8
030311	13:01	210	real2	37	3988	3
030311	13:01	210	real69	38	2045	6
030311	13:01	210	real48	39	2846	6
030311	13:01	210	real3	40	4349	8
030311	13:01	210	real68	41	2880	8
030311	13:01	210	real51	42	3263	3
030311	13:01	210	real79	43	3694	5
030311	13:01	210	real85	44	8971	4
030311	13:01	210	real10	45	5864	4
030311	13:01	210	real72	46	3876	8
030311	13:01	210	real82	47	3226	9
030311	13:01	210	real11	48	4346	8
030311	13:01	210	real43	49	4621	9
030311	13:01	210	real62	50	4772	5
030311	13:01	210	real54	51	4972	5
030311	13:01	210	real21	52	21733	6
030311	13:01	210	real14	53	4583	8
030311	13:01	210	real24	54	3688	8
030311	13:01	210	real81	55	1933	6
030311	13:01	210	real89	56	2131	9
030311	13:01	210	real66	57	3857	5
030311	13:01	210	real18	58	3295	8
030311	13:01	210	real92	59	3452	6
030311	13:01	210	real94	60	3764	6
030311	13:01	210	real30	61	2102	6
030311	13:01	210	real95	62	4220	8
030311	13:01	210	real7	63	5060	6
030311	13:01	210	real77	64	2185	6
030311	13:01	210	real36	65	4939	3
030311	13:01	210	real6	66	2302	6
030311	13:01	210	real70	67	6435	3
030311	13:01	210	real4	68	2113	6
030311	13:01	210	real93	69	3887	8
030311	13:01	210	real16	70	2843	6
030311	13:01	210	real87	71	1372	6
030311	13:01	210	real20	72	14736	4
030311	13:01	210	real1	73	3896	9
030311	13:01	210	real57	74	4269	10
030311	13:01	210	real19	75	3099	9
030311	13:01	210	real61	76	5617	9
030311	13:01	210	real86	77	7968	9
030311	13:01	210	real33	78	5214	5
030311	13:01	210	real42	79	3653	5
030311	13:01	210	real91	80	3428	4
030311	13:01	210	real49	81	3748	9
030311	13:01	210	real34	82	2295	10
030311	13:01	210	real60	83	4302	4
030311	13:01	210	real84	84	5170	9
030311	13:01	210	real15	85	4427	6
030311	13:01	210	real80	86	1939	9
030311	13:01	210	real53	87	5712	4
030311	13:01	210	real37	88	3682	9
030311	13:01	210	real56	89	1472	10
030311	13:01	210	real35	90	4272	9
030311	13:01	210	real75	91	3205	10
030311	13:01	210	real17	92	2958	7
030311	13:01	210	real76	93	9265	6
030311	13:01	210	real78	94	4578	9
030311	13:01	210	real41	95	2331	10
030311	13:01	210	real64	96	3112	9
030311	13:01	210	followup1	1	33978	3
030311	13:01	210	followup2	2	21910	1
