date	time	subject	trialcode	trialnum	latency	response
022411	13:02	407	old	1	6537	young
022411	13:02	407	article	2	4122	newspaper
022411	13:02	407	lost	3	2750	found
022411	13:02	407	prac3	1	24892	7
022411	13:02	407	prac7	2	5179	8
022411	13:02	407	prac6	3	9907	8
022411	13:02	407	prac5	4	7777	7
022411	13:02	407	prac4	5	10350	9
022411	13:02	407	prac8	6	7145	5
022411	13:02	407	prac2	7	7296	5
022411	13:02	407	prac1	8	3937	9
022411	13:02	407	real4	1	8469	4
022411	13:02	407	real47	2	6654	4
022411	13:02	407	real83	3	12538	6
022411	13:02	407	real68	4	6003	2
022411	13:02	407	real89	5	6586	4
022411	13:02	407	real84	6	6640	2
022411	13:02	407	real15	7	8107	5
022411	13:02	407	real9	8	4515	9
022411	13:02	407	real20	9	9063	6
022411	13:02	407	real72	10	5079	5
022411	13:02	407	real10	11	5571	3
022411	13:02	407	real24	12	3467	8
022411	13:02	407	real39	13	4024	9
022411	13:02	407	real61	14	2401	9
022411	13:02	407	real91	15	3499	4
022411	13:02	407	real52	16	5448	4
022411	13:02	407	real34	17	5717	7
022411	13:02	407	real22	18	3911	6
022411	13:02	407	real69	19	2906	9
022411	13:02	407	real35	20	3687	4
022411	13:02	407	real37	21	3548	3
022411	13:02	407	real55	22	2295	8
022411	13:02	407	real94	23	3638	5
022411	13:02	407	real12	24	3916	9
022411	13:02	407	real28	25	4008	9
022411	13:02	407	real36	26	4064	1
022411	13:02	407	real57	27	3998	9
022411	13:02	407	real88	28	5094	5
022411	13:02	407	real93	29	3682	5
022411	13:02	407	real16	30	6807	4
022411	13:02	407	real2	31	6028	2
022411	13:02	407	real76	32	6089	8
022411	13:02	407	real8	33	7724	1
022411	13:02	407	real31	34	3451	3
022411	13:02	407	real81	35	7083	10
022411	13:02	407	real73	36	5909	1
022411	13:02	407	real43	37	5454	3
022411	13:02	407	real30	38	3739	9
022411	13:02	407	real67	39	3517	5
022411	13:02	407	real41	40	2874	9
022411	13:02	407	real82	41	5648	9
022411	13:02	407	real38	42	7045	3
022411	13:02	407	real56	43	3808	9
022411	13:02	407	real60	44	7656	2
022411	13:02	407	real49	45	3282	9
022411	13:02	407	real46	46	1880	9
022411	13:02	407	real5	47	1688	9
022411	13:02	407	real33	48	3575	2
022411	13:02	407	real27	49	3920	6
022411	13:02	407	real3	50	7492	5
022411	13:02	407	real63	51	9380	2
022411	13:02	407	real92	52	2407	7
022411	13:02	407	real64	53	3929	9
022411	13:02	407	real62	54	2260	9
022411	13:02	407	real21	55	3692	9
022411	13:02	407	real6	56	1113	8
022411	13:02	407	real74	57	5367	6
022411	13:02	407	real79	58	2903	2
022411	13:02	407	real86	59	5276	2
022411	13:02	407	real13	60	5520	8
022411	13:02	407	real77	61	3034	6
022411	13:02	407	real17	62	13138	4
022411	13:02	407	real71	63	2891	9
022411	13:02	407	real1	64	2769	9
022411	13:02	407	real65	65	6396	4
022411	13:02	407	real85	66	3849	1
022411	13:02	407	real90	67	2568	1
022411	13:02	407	real26	68	4339	1
022411	13:02	407	real29	69	2038	9
022411	13:02	407	real53	70	7382	1
022411	13:02	407	real48	71	6227	9
022411	13:02	407	real87	72	1176	9
022411	13:02	407	real78	73	3589	3
022411	13:02	407	real7	74	1781	9
022411	13:02	407	real23	75	1993	9
022411	13:02	407	real70	76	6156	5
022411	13:02	407	real42	77	6372	5
022411	13:02	407	real19	78	1755	9
022411	13:02	407	real58	79	2175	9
022411	13:02	407	real11	80	2274	9
022411	13:02	407	real54	81	5689	3
022411	13:02	407	real75	82	2748	9
022411	13:02	407	real18	83	4112	1
022411	13:02	407	real14	84	3988	10
022411	13:02	407	real40	85	1901	10
022411	13:02	407	real96	86	6427	5
022411	13:02	407	real45	87	2863	5
022411	13:02	407	real25	88	4478	8
022411	13:02	407	real59	89	8171	9
022411	13:02	407	real32	90	2336	9
022411	13:02	407	real66	91	3436	4
022411	13:02	407	real51	92	3203	3
022411	13:02	407	real80	93	4340	3
022411	13:02	407	real44	94	4847	10
022411	13:02	407	real50	95	885	10
022411	13:02	407	real95	96	1804	10
022411	13:02	407	followup2	1	24052	1
022411	13:02	407	followup1	2	18045	3
022411	13:02	407	followup4	3	8134	4
022411	13:02	407	followup3	4	17148	2
