Q R JAM SIM fsg cos LSA300 BGLcomp qfr tfr logqfr logtfr qss tss
crocodile alligator 83.73 72.5 0.629 0.822 0.48 0.369532 1 4 0.6931 1.6094 14 13
pear apple 84.5 39.3 0.272 0.048 0.18 0.346774 6 9 1.9459 2.3026 9 17
apron tie 34.88 33.3 0.02 0.09 0.37 0.212167 7 23 2.0794 3.1781 14 17
ashtray cigarette 82.19 33.7 0.496 0.112 0.52 0.117841 1 25 0.6931 3.2581 8 11
sack bag 67.58 75.3 0.444 0.338 0.56 0.638386 8 42 2.1972 3.7612 9 17
racquet ball 84.5 27.3 0.689 0.134 -0.02 ******* 1 110 0.6931 4.7095 3 17
barn shed 57.58 65.3 0.016 0.458 0.63 0.507135 29 11 3.4012 2.4849 13 26
bed pillow 68.73 37.7 0.016 0.374 0.81 0.530695 127 8 4.8520 2.1972 11 14
bison buffalo 60.65 80.1 0.387 0.829 0.69 0.464238 1 16 0.6931 2.8332 10 21
blouse shirt 69.88 78.9 0.647 0.737 0.64 0.392063 1 27 0.6931 3.3322 11 17
canoe boat 63.73 65.7 0.429 0.217 0.57 0.686149 7 72 2.0794 4.2905 8 16
magazine book 48.35 50.5 0.244 0.368 0.29 0.610208 39 193 3.6889 5.2679 13 15
bracelet chain 53.35 56.1 0.014 0.165 0.08 0.185579 1 50 0.6931 3.9318 13 14
brick wall 82.96 34.5 0.077 0.031 0.67 0.551529 18 160 2.9444 5.0814 14 23
pier bridge 42.19 53.3 0.021 0.107 0.36 0.421547 3 98 1.3863 4.5951 11 10
cauliflower broccoli 47.96 66.1 0.342 0.558 0.73 0.152361 1 1 0.6931 0.6931 10 13
comb brush 71.42 64.1 0.636 0.156 0.29 0.553044 6 44 1.9459 3.8067 2 6
skyscraper building 70.65 62.5 0.432 0.45 0.44 0.254953 2 160 1.0986 5.0814 8 20
rifle bullet 59.88 35.3 0.034 0.197 0.58 0.30791 63 28 4.1589 3.3673 10 13
caterpillar butterfly 75.65 53.3 0.358 0.214 0.88 0.476283 1 2 0.6931 1.0986 10 20
calf cow 69.5 73.7 0.697 0.32 0.68 0.503775 11 29 2.4849 3.4012 7 10
garage car 77.19 32.9 0.519 0.107 0.69 0.725326 21 274 3.0910 5.6168 12 25
mat carpet 51.04 60.5 0.014 0.136 0.28 0.554728 5 13 1.7918 2.6391 12 17
dog cat 91.04 41.3 0.667 0.602 0.36 0.838769 75 23 4.3307 3.1781 5 3
cathedral church 79.5 78.9 0.717 0.441 0.43 0.539257 8 348 2.1972 5.8551 9 15
table chair 75.65 37.3 0.756 0.425 0.61 0.603802 198 66 5.2933 4.2047 10 14
cherry strawberry 47.96 48.9 0.021 0.559 0.23 0.151595 6 2 1.9459 1.0986 16 21
rooster chicken 74.88 66.1 0.299 0.553 0.24 0.318272 3 37 1.3863 3.6376 7 29
chisel hammer 55.65 46.9 0.328 0.35 0.62 0.544272 4 9 1.6094 2.3026 25 7
clarinet flute 52.96 61.3 0.213 0.799 0.57 0.304197 1 1 0.6931 0.6931 9 19
jacket coat 74.5 86.1 0.564 0.413 0.6 0.672864 33 43 3.5264 3.7842 15 17
cottage house 58.35 68.5 0.381 0.407 0.42 0.658013 19 591 2.9957 6.3835 11 13
sofa couch 77.58 89.3 0.507 0.879 0.71 0.673662 6 12 1.9459 2.5649 10 12
cougar panther 58.35 70.9 0.022 0.592 0.34 0.27828 0 1 0.0000 0.6931 11 14
crab lobster 70.1 58.1 0.128 0.757 0.5 0.180909 2 1 1.0986 0.6931 21 23
cucumber tomato 30.65 36.1 0.071 0.51 0.48 0.111169 0 4 0.0000 1.6094 8 17
cup saucer 48.35 46.9 0.418 0.192 0.4 0.423017 45 2 3.8286 1.0986 10 11
dagger knife 76.42 79.7 0.614 0.683 0.27 0.336875 0 76 0.0000 4.3438 10 13
elk deer 66.42 60.5 0.423 0.664 0.61 0.197896 1 13 0.6931 2.6391 9 18
dish plate 66.42 82.1 0.315 0.672 0.32 0.48936 16 22 2.8332 3.1355 15 12
doll toy 63.35 54.1 0.154 0.369 0.56 0.441827 10 4 2.3979 1.6094 13 19
key door 67.58 30.9 0.218 0.18 0.22 0.525862 88 312 4.4886 5.7462 9 23
goose duck 68.35 65.3 0.261 0.626 0.49 0.411523 4 9 1.6094 2.3026 11 16
elephant giraffe 42.58 38.1 0.021 0.272 0.49 0.248986 7 0 2.0794 0.0000 19 8
gate fence 66.42 67.7 0.353 0.403 0.65 0.731242 37 30 3.6376 3.4340 12 20
spoon fork 84.88 51.3 0.614 0.546 0.48 0.432466 6 14 1.9459 2.7081 12 8
toad frog 74.88 75.3 0.828 0.724 0.87 0.404183 4 1 1.6094 0.6931 4 20
vine grape 69.88 39.7 0.605 0.286 0.17 0.158002 4 3 1.6094 1.3863 12 17
pistol gun 82.19 76.1 0.774 0.802 0.62 0.464227 27 118 3.3322 4.7791 10 18
hare rabbit 70.65 84.9 0.732 0.425 0.41 0.473767 1 11 0.6931 2.4849 6 27
hoe rake 60.27 52.9 0.174 0.429 0.28 0.215672 0 11 0.0000 2.4849 13 9
hook worm 50.65 25.3 0.019 0.075 0.36 0.523457 5 4 1.7918 1.6094 17 23
pony horse 78.73 78.5 0.752 0.586 0.79 0.637295 10 117 2.3979 4.7707 5 16
lamb sheep 76.42 73.3 0.333 0.743 0.53 0.360541 7 23 2.0794 3.1781 14 17
lemon lime 82.96 60.1 0.429 0.493 0.33 0.19951 18 13 2.9444 2.6391 11 11
missile rocket 67.96 68.1 0.123 0.274 0.4 0.198052 48 7 3.8918 2.0794 21 18
rat mouse 72.19 64.5 0.318 0.578 0.54 0.553769 6 10 1.9459 2.3979 19 10
pearl necklace 39.12 42.5 0.252 0.632 0.29 0.175827 9 3 2.3026 1.3863 14 12
olive pickle 28.73 40.9 0.014 0.359 0.2 0.133018 5 1 1.7918 0.6931 17 15
tangerine orange 69.88 70.5 0.733 0.749 0.25 ******* 0 23 0.0000 3.1781 7 14
toaster oven 75.65 50.5 0.467 0.524 0.23 0.378788 0 7 0.0000 2.0794 5 9
skillet pan 71.81 69.3 0.48 0.844 0.55 0.206724 2 16 1.0986 2.8332 7 13
trousers pants 64.12 79.3 0.846 0.758 0.71 0.562947 7 9 2.0794 2.3026 5 22
pelican seagull 52.19 58.9 0.071 0.736 0.39 0.103634 0 1 0.0000 0.6931 9 10
pen pencil 86.42 60.1 0.594 0.124 0.42 0.575635 18 34 2.9444 3.5553 4 9
prune raisin 58.35 62.5 0.106 0.537 0.07 0.077688 1 1 0.6931 0.6931 14 12
radio stereo 62.96 78.1 0.203 0.403 0.17 0.346543 120 12 4.7958 2.5649 13 14
stone rock 76.04 82.1 0.629 0.723 0.15 0.62369 58 75 4.0775 4.3307 10 13
tortoise turtle 76.81 82.9 0.493 0.808 0.26 0.35448 3 8 1.3863 2.1972 7 18
tractor trailer 68.35 38.1 0.326 0.251 0.33 0.387469 24 11 3.2189 2.4849 10 14
van truck 48.73 55.3 0.214 0.697 0.25 0.619637 32 57 3.4965 4.0604 13 17
wagon wheel 67.58 32.5 0.25 0.009 0.16 0.539046 55 56 4.0254 4.0431 13 14
