word,associates,part_no,scores,ospan,math,strict,ravens
assist,3,p53,4,68,93,51,8
bashful,4,p53,5,68,93,51,8
before,4,p53,5,68,93,51,8
beginning,4,p53,6,68,93,51,8
blow,23,p53,6,68,93,51,8
body,31,p53,5,68,93,51,8
bouquet,3,p53,5,68,93,51,8
break,26,p53,7,68,93,51,8
bum,21,p53,1,68,93,51,8
car,25,p53,3,68,93,51,8
casual,20,p53,1,68,93,51,8
challenge,21,p53,6,68,93,51,8
chauffeur,5,p53,3,68,93,51,8
chowder,4,p53,10,68,93,51,8
cinema,4,p53,6,68,93,51,8
closed,5,p53,1,68,93,51,8
cloth,21,p53,10,68,93,51,8
common,23,p53,3,68,93,51,8
computer,33,p53,3,68,93,51,8
corpse,3,p53,5,68,93,51,8
dancer,23,p53,2,68,93,51,8
dangerous,22,p53,5,68,93,51,8
difficult,3,p53,6,68,93,51,8
melody,5,p53,10,68,93,51,8
meow,3,p53,3,68,93,51,8
organize,23,p53,2,68,93,51,8
patience,21,p53,7,68,93,51,8
peaceful,20,p53,10,68,93,51,8
pupil,4,p53,1,68,93,51,8
racket,3,p53,3,68,93,51,8
assist,3,p54,21,21,85,0,3
bashful,4,p54,10,21,85,0,3
before,4,p54,25,21,85,0,3
beginning,4,p54,30,21,85,0,3
blow,23,p54,14,21,85,0,3
body,31,p54,30,21,85,0,3
bouquet,3,p54,26,21,85,0,3
break,26,p54,21,21,85,0,3
bum,21,p54,10,21,85,0,3
car,25,p54,30,21,85,0,3
casual,20,p54,30,21,85,0,3
challenge,21,p54,22,21,85,0,3
chauffeur,5,p54,5,21,85,0,3
chowder,4,p54,3,21,85,0,3
cinema,4,p54,9,21,85,0,3
closed,5,p54,30,21,85,0,3
cloth,21,p54,30,21,85,0,3
common,23,p54,30,21,85,0,3
computer,33,p54,30,21,85,0,3
corpse,3,p54,6,21,85,0,3
dancer,23,p54,10,21,85,0,3
dangerous,22,p54,30,21,85,0,3
difficult,3,p54,30,21,85,0,3
melody,5,p54,26,21,85,0,3
meow,3,p54,8,21,85,0,3
organize,23,p54,8,21,85,0,3
patience,21,p54,25,21,85,0,3
peaceful,20,p54,12,21,85,0,3
pupil,4,p54,26,21,85,0,3
racket,3,p54,15,21,85,0,3
assist,3,p55,3,61,96,43,24
bashful,4,p55,2,61,96,43,24
before,4,p55,1,61,96,43,24
beginning,4,p55,1,61,96,43,24
blow,23,p55,2,61,96,43,24
body,31,p55,1,61,96,43,24
bouquet,3,p55,1,61,96,43,24
break,26,p55,2,61,96,43,24
bum,21,p55,3,61,96,43,24
car,25,p55,1,61,96,43,24
casual,20,p55,1,61,96,43,24
challenge,21,p55,1,61,96,43,24
chauffeur,5,p55,1,61,96,43,24
chowder,4,p55,2,61,96,43,24
cinema,4,p55,1,61,96,43,24
closed,5,p55,2,61,96,43,24
cloth,21,p55,2,61,96,43,24
common,23,p55,4,61,96,43,24
computer,33,p55,3,61,96,43,24
corpse,3,p55,1,61,96,43,24
dancer,23,p55,1,61,96,43,24
dangerous,22,p55,1,61,96,43,24
difficult,3,p55,1,61,96,43,24
melody,5,p55,2,61,96,43,24
meow,3,p55,1,61,96,43,24
organize,23,p55,1,61,96,43,24
patience,21,p55,1,61,96,43,24
peaceful,20,p55,2,61,96,43,24
pupil,4,p55,2,61,96,43,24
racket,3,p55,2,61,96,43,24
assist,3,p56,12,39,95,19,17
bashful,4,p56,3,39,95,19,17
before,4,p56,21,39,95,19,17
beginning,4,p56,24,39,95,19,17
blow,23,p56,21,39,95,19,17
body,31,p56,26,39,95,19,17
bouquet,3,p56,15,39,95,19,17
break,26,p56,23,39,95,19,17
bum,21,p56,2,39,95,19,17
car,25,p56,17,39,95,19,17
casual,20,p56,8,39,95,19,17
challenge,21,p56,18,39,95,19,17
chauffeur,5,p56,1,39,95,19,17
chowder,4,p56,4,39,95,19,17
cinema,4,p56,9,39,95,19,17
closed,5,p56,9,39,95,19,17
cloth,21,p56,12,39,95,19,17
common,23,p56,14,39,95,19,17
computer,33,p56,8,39,95,19,17
corpse,3,p56,9,39,95,19,17
dancer,23,p56,15,39,95,19,17
dangerous,22,p56,16,39,95,19,17
difficult,3,p56,19,39,95,19,17
melody,5,p56,11,39,95,19,17
meow,3,p56,5,39,95,19,17
organize,23,p56,13,39,95,19,17
patience,21,p56,16,39,95,19,17
peaceful,20,p56,16,39,95,19,17
pupil,4,p56,4,39,95,19,17
racket,3,p56,9,39,95,19,17
assist,3,p57,3,61,96,46,12
bashful,4,p57,3,61,96,46,12
before,4,p57,3,61,96,46,12
beginning,4,p57,3,61,96,46,12
blow,23,p57,2,61,96,46,12
body,31,p57,3,61,96,46,12
bouquet,3,p57,4,61,96,46,12
break,26,p57,4,61,96,46,12
bum,21,p57,3,61,96,46,12
car,25,p57,5,61,96,46,12
casual,20,p57,2,61,96,46,12
challenge,21,p57,2,61,96,46,12
chauffeur,5,p57,2,61,96,46,12
chowder,4,p57,3,61,96,46,12
cinema,4,p57,2,61,96,46,12
closed,5,p57,4,61,96,46,12
cloth,21,p57,3,61,96,46,12
common,23,p57,3,61,96,46,12
computer,33,p57,4,61,96,46,12
corpse,3,p57,4,61,96,46,12
dancer,23,p57,3,61,96,46,12
dangerous,22,p57,4,61,96,46,12
difficult,3,p57,4,61,96,46,12
melody,5,p57,2,61,96,46,12
meow,3,p57,2,61,96,46,12
organize,23,p57,2,61,96,46,12
patience,21,p57,2,61,96,46,12
peaceful,20,p57,4,61,96,46,12
pupil,4,p57,1,61,96,46,12
racket,3,p57,2,61,96,46,12
assist,3,p58,12,63,100,43,22
bashful,4,p58,8,63,100,43,22
before,4,p58,12,63,100,43,22
beginning,4,p58,15,63,100,43,22
blow,23,p58,3,63,100,43,22
body,31,p58,5,63,100,43,22
bouquet,3,p58,2,63,100,43,22
break,26,p58,6,63,100,43,22
bum,21,p58,1,63,100,43,22
car,25,p58,2,63,100,43,22
casual,20,p58,10,63,100,43,22
challenge,21,p58,9,63,100,43,22
chauffeur,5,p58,5,63,100,43,22
chowder,4,p58,2,63,100,43,22
cinema,4,p58,4,63,100,43,22
closed,5,p58,7,63,100,43,22
cloth,21,p58,2,63,100,43,22
common,23,p58,10,63,100,43,22
computer,33,p58,6,63,100,43,22
corpse,3,p58,2,63,100,43,22
dancer,23,p58,2,63,100,43,22
dangerous,22,p58,11,63,100,43,22
difficult,3,p58,20,63,100,43,22
melody,5,p58,8,63,100,43,22
meow,3,p58,1,63,100,43,22
organize,23,p58,8,63,100,43,22
patience,21,p58,12,63,100,43,22
peaceful,20,p58,20,63,100,43,22
pupil,4,p58,3,63,100,43,22
racket,3,p58,4,63,100,43,22
assist,3,p59,3,26,47,16,2
bashful,4,p59,1,26,47,16,2
before,4,p59,1,26,47,16,2
beginning,4,p59,1,26,47,16,2
blow,23,p59,3,26,47,16,2
body,31,p59,2,26,47,16,2
bouquet,3,p59,1,26,47,16,2
break,26,p59,2,26,47,16,2
bum,21,p59,2,26,47,16,2
car,25,p59,2,26,47,16,2
casual,20,p59,1,26,47,16,2
challenge,21,p59,2,26,47,16,2
chauffeur,5,p59,1,26,47,16,2
chowder,4,p59,1,26,47,16,2
cinema,4,p59,1,26,47,16,2
closed,5,p59,3,26,47,16,2
cloth,21,p59,1,26,47,16,2
common,23,p59,3,26,47,16,2
computer,33,p59,1,26,47,16,2
corpse,3,p59,1,26,47,16,2
dancer,23,p59,1,26,47,16,2
dangerous,22,p59,1,26,47,16,2
difficult,3,p59,2,26,47,16,2
melody,5,p59,2,26,47,16,2
meow,3,p59,1,26,47,16,2
organize,23,p59,1,26,47,16,2
patience,21,p59,1,26,47,16,2
peaceful,20,p59,1,26,47,16,2
pupil,4,p59,2,26,47,16,2
racket,3,p59,3,26,47,16,2
assist,3,p60,1,70,99,62,23
bashful,4,p60,5,70,99,62,23
before,4,p60,10,70,99,62,23
beginning,4,p60,8,70,99,62,23
blow,23,p60,4,70,99,62,23
body,31,p60,20,70,99,62,23
bouquet,3,p60,3,70,99,62,23
break,26,p60,6,70,99,62,23
bum,21,p60,2,70,99,62,23
car,25,p60,30,70,99,62,23
casual,20,p60,3,70,99,62,23
challenge,21,p60,3,70,99,62,23
chauffeur,5,p60,3,70,99,62,23
chowder,4,p60,2,70,99,62,23
cinema,4,p60,2,70,99,62,23
closed,5,p60,1,70,99,62,23
cloth,21,p60,3,70,99,62,23
common,23,p60,8,70,99,62,23
computer,33,p60,30,70,99,62,23
corpse,3,p60,4,70,99,62,23
dancer,23,p60,2,70,99,62,23
dangerous,22,p60,12,70,99,62,23
difficult,3,p60,10,70,99,62,23
melody,5,p60,3,70,99,62,23
meow,3,p60,5,70,99,62,23
organize,23,p60,10,70,99,62,23
patience,21,p60,2,70,99,62,23
peaceful,20,p60,10,70,99,62,23
pupil,4,p60,3,70,99,62,23
racket,3,p60,9,70,99,62,23
assist,3,p61,3,72,99,62,25
bashful,4,p61,10,72,99,62,25
before,4,p61,15,72,99,62,25
beginning,4,p61,20,72,99,62,25
blow,23,p61,20,72,99,62,25
body,31,p61,5,72,99,62,25
bouquet,3,p61,7,72,99,62,25
break,26,p61,30,72,99,62,25
bum,21,p61,10,72,99,62,25
car,25,p61,30,72,99,62,25
casual,20,p61,9,72,99,62,25
challenge,21,p61,10,72,99,62,25
chauffeur,5,p61,3,72,99,62,25
chowder,4,p61,15,72,99,62,25
cinema,4,p61,6,72,99,62,25
closed,5,p61,7,72,99,62,25
cloth,21,p61,12,72,99,62,25
common,23,p61,6,72,99,62,25
computer,33,p61,6,72,99,62,25
corpse,3,p61,7,72,99,62,25
dancer,23,p61,20,72,99,62,25
dangerous,22,p61,18,72,99,62,25
difficult,3,p61,15,72,99,62,25
melody,5,p61,2,72,99,62,25
meow,3,p61,6,72,99,62,25
organize,23,p61,14,72,99,62,25
patience,21,p61,5,72,99,62,25
peaceful,20,p61,17,72,99,62,25
pupil,4,p61,5,72,99,62,25
racket,3,p61,15,72,99,62,25
assist,3,p62,17,60,93,36,6
bashful,4,p62,20,60,93,36,6
before,4,p62,17,60,93,36,6
beginning,4,p62,5,60,93,36,6
blow,23,p62,27,60,93,36,6
body,31,p62,30,60,93,36,6
bouquet,3,p62,25,60,93,36,6
break,26,p62,20,60,93,36,6
bum,21,p62,10,60,93,36,6
car,25,p62,30,60,93,36,6
casual,20,p62,20,60,93,36,6
challenge,21,p62,30,60,93,36,6
chauffeur,5,p62,8,60,93,36,6
chowder,4,p62,5,60,93,36,6
cinema,4,p62,30,60,93,36,6
closed,5,p62,15,60,93,36,6
cloth,21,p62,25,60,93,36,6
common,23,p62,27,60,93,36,6
computer,33,p62,30,60,93,36,6
corpse,3,p62,25,60,93,36,6
dancer,23,p62,30,60,93,36,6
dangerous,22,p62,30,60,93,36,6
difficult,3,p62,30,60,93,36,6
melody,5,p62,30,60,93,36,6
meow,3,p62,20,60,93,36,6
organize,23,p62,30,60,93,36,6
patience,21,p62,25,60,93,36,6
peaceful,20,p62,30,60,93,36,6
pupil,4,p62,30,60,93,36,6
racket,3,p62,17,60,93,36,6
assist,3,p63,2,59,92,31,15
bashful,4,p63,3,59,92,31,15
before,4,p63,2,59,92,31,15
beginning,4,p63,2,59,92,31,15
blow,23,p63,1,59,92,31,15
body,31,p63,1,59,92,31,15
bouquet,3,p63,2,59,92,31,15
break,26,p63,1,59,92,31,15
bum,21,p63,2,59,92,31,15
car,25,p63,2,59,92,31,15
casual,20,p63,2,59,92,31,15
challenge,21,p63,2,59,92,31,15
chauffeur,5,p63,1,59,92,31,15
chowder,4,p63,1,59,92,31,15
cinema,4,p63,2,59,92,31,15
closed,5,p63,1,59,92,31,15
cloth,21,p63,2,59,92,31,15
common,23,p63,2,59,92,31,15
computer,33,p63,2,59,92,31,15
corpse,3,p63,2,59,92,31,15
dancer,23,p63,1,59,92,31,15
dangerous,22,p63,2,59,92,31,15
difficult,3,p63,2,59,92,31,15
melody,5,p63,3,59,92,31,15
meow,3,p63,1,59,92,31,15
organize,23,p63,2,59,92,31,15
patience,21,p63,1,59,92,31,15
peaceful,20,p63,1,59,92,31,15
pupil,4,p63,1,59,92,31,15
racket,3,p63,2,59,92,31,15
assist,3,p65,5,43,84,23,6
bashful,4,p65,2,43,84,23,6
before,4,p65,4,43,84,23,6
beginning,4,p65,2,43,84,23,6
blow,23,p65,3,43,84,23,6
body,31,p65,3,43,84,23,6
bouquet,3,p65,4,43,84,23,6
break,26,p65,4,43,84,23,6
bum,21,p65,2,43,84,23,6
car,25,p65,4,43,84,23,6
casual,20,p65,4,43,84,23,6
challenge,21,p65,3,43,84,23,6
chauffeur,5,p65,3,43,84,23,6
chowder,4,p65,5,43,84,23,6
cinema,4,p65,4,43,84,23,6
closed,5,p65,5,43,84,23,6
cloth,21,p65,6,43,84,23,6
common,23,p65,3,43,84,23,6
computer,33,p65,6,43,84,23,6
corpse,3,p65,5,43,84,23,6
dancer,23,p65,3,43,84,23,6
dangerous,22,p65,3,43,84,23,6
difficult,3,p65,2,43,84,23,6
melody,5,p65,3,43,84,23,6
meow,3,p65,3,43,84,23,6
organize,23,p65,4,43,84,23,6
patience,21,p65,3,43,84,23,6
peaceful,20,p65,2,43,84,23,6
pupil,4,p65,1,43,84,23,6
racket,3,p65,6,43,84,23,6
assist,3,p66,200,49,99,28,11
bashful,4,p66,5,49,99,28,11
before,4,p66,1,49,99,28,11
beginning,4,p66,6,49,99,28,11
blow,23,p66,2,49,99,28,11
body,31,p66,1,49,99,28,11
bouquet,3,p66,10,49,99,28,11
break,26,p66,10,49,99,28,11
bum,21,p66,5,49,99,28,11
car,25,p66,5,49,99,28,11
casual,20,p66,13,49,99,28,11
challenge,21,p66,13,49,99,28,11
chauffeur,5,p66,2,49,99,28,11
chowder,4,p66,10,49,99,28,11
cinema,4,p66,12,49,99,28,11
closed,5,p66,1,49,99,28,11
cloth,21,p66,1,49,99,28,11
common,23,p66,10,49,99,28,11
computer,33,p66,110,49,99,28,11
corpse,3,p66,130,49,99,28,11
dancer,23,p66,120,49,99,28,11
dangerous,22,p66,13,49,99,28,11
difficult,3,p66,5,49,99,28,11
melody,5,p66,1,49,99,28,11
meow,3,p66,1,49,99,28,11
organize,23,p66,10,49,99,28,11
patience,21,p66,10,49,99,28,11
peaceful,20,p66,10,49,99,28,11
pupil,4,p66,1,49,99,28,11
racket,3,p66,10,49,99,28,11
assist,3,p67,6,73,96,63,12
bashful,4,p67,3,73,96,63,12
before,4,p67,1,73,96,63,12
beginning,4,p67,2,73,96,63,12
blow,23,p67,6,73,96,63,12
body,31,p67,8,73,96,63,12
bouquet,3,p67,4,73,96,63,12
break,26,p67,2,73,96,63,12
bum,21,p67,3,73,96,63,12
car,25,p67,3,73,96,63,12
casual,20,p67,4,73,96,63,12
challenge,21,p67,3,73,96,63,12
chauffeur,5,p67,1,73,96,63,12
chowder,4,p67,2,73,96,63,12
cinema,4,p67,1,73,96,63,12
closed,5,p67,1,73,96,63,12
cloth,21,p67,2,73,96,63,12
common,23,p67,1,73,96,63,12
computer,33,p67,6,73,96,63,12
corpse,3,p67,5,73,96,63,12
dancer,23,p67,5,73,96,63,12
dangerous,22,p67,4,73,96,63,12
difficult,3,p67,2,73,96,63,12
melody,5,p67,5,73,96,63,12
meow,3,p67,4,73,96,63,12
organize,23,p67,2,73,96,63,12
patience,21,p67,1,73,96,63,12
peaceful,20,p67,9,73,96,63,12
pupil,4,p67,2,73,96,63,12
racket,3,p67,3,73,96,63,12
assist,3,p69,2,69,85,54,6
bashful,4,p69,2,69,85,54,6
before,4,p69,1,69,85,54,6
beginning,4,p69,1,69,85,54,6
blow,23,p69,2,69,85,54,6
body,31,p69,2,69,85,54,6
bouquet,3,p69,2,69,85,54,6
break,26,p69,2,69,85,54,6
bum,21,p69,2,69,85,54,6
car,25,p69,1,69,85,54,6
casual,20,p69,2,69,85,54,6
challenge,21,p69,1,69,85,54,6
chauffeur,5,p69,1,69,85,54,6
chowder,4,p69,2,69,85,54,6
cinema,4,p69,2,69,85,54,6
closed,5,p69,2,69,85,54,6
cloth,21,p69,2,69,85,54,6
common,23,p69,3,69,85,54,6
computer,33,p69,2,69,85,54,6
corpse,3,p69,2,69,85,54,6
dancer,23,p69,3,69,85,54,6
dangerous,22,p69,2,69,85,54,6
difficult,3,p69,1,69,85,54,6
melody,5,p69,2,69,85,54,6
meow,3,p69,1,69,85,54,6
organize,23,p69,2,69,85,54,6
patience,21,p69,2,69,85,54,6
peaceful,20,p69,1,69,85,54,6
pupil,4,p69,2,69,85,54,6
racket,3,p69,2,69,85,54,6
assist,3,p70,4,67,97,50,14
bashful,4,p70,3,67,97,50,14
before,4,p70,10,67,97,50,14
beginning,4,p70,3,67,97,50,14
blow,23,p70,8,67,97,50,14
body,31,p70,4,67,97,50,14
bouquet,3,p70,1,67,97,50,14
break,26,p70,6,67,97,50,14
bum,21,p70,2,67,97,50,14
car,25,p70,6,67,97,50,14
casual,20,p70,3,67,97,50,14
challenge,21,p70,4,67,97,50,14
chauffeur,5,p70,3,67,97,50,14
chowder,4,p70,1,67,97,50,14
cinema,4,p70,1,67,97,50,14
closed,5,p70,4,67,97,50,14
cloth,21,p70,5,67,97,50,14
common,23,p70,5,67,97,50,14
computer,33,p70,2,67,97,50,14
corpse,3,p70,2,67,97,50,14
dancer,23,p70,3,67,97,50,14
dangerous,22,p70,5,67,97,50,14
difficult,3,p70,4,67,97,50,14
melody,5,p70,2,67,97,50,14
meow,3,p70,2,67,97,50,14
organize,23,p70,2,67,97,50,14
patience,21,p70,3,67,97,50,14
peaceful,20,p70,5,67,97,50,14
pupil,4,p70,2,67,97,50,14
racket,3,p70,4,67,97,50,14
assist,3,p71,3,61,97,33,17
bashful,4,p71,2,61,97,33,17
before,4,p71,1,61,97,33,17
beginning,4,p71,1,61,97,33,17
blow,23,p71,3,61,97,33,17
