date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
091206	17:59	38	practice1	1	1	practice1	8163	8	0	
091206	17:59	38	practice2	1	1	practice2	7426	3	0	
091206	17:59	38	practice3	1	1	practice3	9864	3	0	
091206	17:59	38	expblock1	1	1	1	23100	5	0	
091206	17:59	38	expblock1	1	1	2	17294	1	0	
091206	17:59	38	expblock1	1	1	3	10602	7	0	
091206	17:59	38	expblock1	1	1	4	31017	4	0	
091206	17:59	38	expblock1	1	1	5	25297	3	0	
091206	17:59	38	expblock1	1	1	6	17464	1	0	
091206	17:59	38	expblock1	1	1	7	15203	6	0	
091206	17:59	38	expblock1	1	1	8	23403	1	0	
091206	17:59	38	expblock1	1	1	9	10759	8	0	
091206	17:59	38	expblock1	1	1	10	7171	4	0	
091206	17:59	38	expblock1	1	1	11	14804	5	0	
091206	17:59	38	expblock1	1	1	12	10154	6	0	
091206	17:59	38	expblock2	1	1	13	25464	2	0	
091206	17:59	38	expblock2	1	1	14	30834	1	0	
091206	17:59	38	expblock2	1	1	15	30240	2	0	
091206	17:59	38	expblock2	1	1	16	11419	4	0	
091206	17:59	38	expblock2	1	1	17	53222	6	0	
091206	17:59	38	expblock2	1	1	18	47379	7	0	
091206	17:59	38	expblock2	1	1	19	28708	3	0	
091206	17:59	38	expblock2	1	1	20	19639	8	0	
091206	17:59	38	expblock2	1	1	21	60526	4	0	
091206	17:59	38	expblock2	1	1	22	41880	7	0	
091206	17:59	38	expblock2	1	1	23	19931	6	0	
091206	17:59	38	expblock2	1	1	24	66905	1	0	
091206	17:59	38	expblock3	1	1	25	55696	7	0	
091206	17:59	38	expblock3	1	1	26	55800	2	0	
091206	17:59	38	expblock3	1	1	27	61041	7	0	
091206	17:59	38	expblock3	1	1	28	62680	3	0	
091206	17:59	38	expblock3	1	1	29	45939	2	0	
091206	17:59	38	expblock3	1	1	30	66967	8	0	
091206	17:59	38	expblock3	1	1	31	28099	8	0	
091206	17:59	38	expblock3	1	1	32	43665	8	0	
091206	17:59	38	expblock3	1	1	33	43870	5	0	
091206	17:59	38	expblock3	1	1	34	64072	3	0	
091206	17:59	38	expblock3	1	1	35	28648	3	0	
091206	17:59	38	expblock3	1	1	36	60727	5	0	
