Free Association Data p79
Practice:
lost found
old new
article newspaper
Experimental:
bum     homeless
chauffeur limosine
chowder clam
bashful dwarf
racket noise
casual relax
pupil student
assist help
dancer ballet
organize clutter
corpse dead
peaceful rest
computer laptop
bouquet flowers
common simple
closed open
cloth satin
melody hymn
car     truck
dangerous       safe
before after
beginning end
difficult easy
break shatter
patience calm
cinema  movie
challenge hard
body language
blow whistle
meow cat
