Free Association Data p82
Practice:
lost
old
article
Experimental:
bum     street
chauffeur limosine
chowder food
bashful nervous
racket tennis
casual clothes
pupil eye
assist teach
dancer music
organize planner
corpse mourge
peaceful sunset
computer keyboard
bouquet wedding
common easy
closed door
cloth clothes
melody music
car     driving
dangerous       scared
before after
beginning end
difficult hard
break ruin
patience relaxed
cinema  movie
challenge difficult
body living
blow dryer
meow cat
