date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
022707	14:04	247	practice1	1	1	practice1	16689	8	0	
022707	14:04	247	practice2	1	1	practice2	7271	3	0	
022707	14:04	247	practice3	1	1	practice3	18959	2	0	
022707	14:04	247	expblock1	1	1	1	47429	5	0	
022707	14:04	247	expblock1	1	1	2	35730	4	0	
022707	14:04	247	expblock1	1	1	3	19361	7	0	
022707	14:04	247	expblock1	1	1	4	51174	2	0	
022707	14:04	247	expblock1	1	1	5	23589	3	0	
022707	14:04	247	expblock1	1	1	6	13210	1	0	
022707	14:04	247	expblock1	1	1	7	17141	2	0	
022707	14:04	247	expblock1	1	1	8	68819	1	0	
022707	14:04	247	expblock1	1	1	9	31002	8	0	
022707	14:04	247	expblock1	1	1	10	30228	8	0	
022707	14:04	247	expblock1	1	1	11	19227	5	0	
022707	14:04	247	expblock1	1	1	12	26454	6	0	
022707	14:04	247	expblock1	1	1	13	65640	6	0	
022707	14:04	247	expblock1	1	1	14	37778	1	0	
022707	14:04	247	expblock1	1	1	15	41641	8	0	
022707	14:04	247	expblock1	1	1	16	36607	4	0	
022707	14:04	247	expblock1	1	1	17	23934	6	0	
022707	14:04	247	expblock1	1	1	18	25512	7	0	
022707	14:04	247	expblock1	1	1	19	37789	3	0	
022707	14:04	247	expblock1	1	1	20	67054	8	0	
022707	14:04	247	expblock1	1	1	21	21588	4	0	
022707	14:04	247	expblock1	1	1	22	63215	1	0	
022707	14:04	247	expblock1	1	1	23	29147	3	0	
022707	14:04	247	expblock1	1	1	24	117040	7	0	
022707	14:04	247	expblock1	1	1	25	71169	8	0	
022707	14:04	247	expblock1	1	1	26	7105	3	0	
022707	14:04	247	expblock1	1	1	27	1349	0	1	
