date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
071806	14:15	111	practice1	1	1	practice1	14909	8	0	
071806	14:15	111	practice2	1	1	practice2	5867	3	0	
071806	14:15	111	practice3	1	1	practice3	12670	2	0	
071806	14:15	111	expblock1	1	1	1	24311	4	0	
071806	14:15	111	expblock1	1	1	2	13470	1	0	
071806	14:15	111	expblock1	1	1	3	20846	7	0	
071806	14:15	111	expblock1	1	1	4	15671	4	0	
071806	14:15	111	expblock1	1	1	5	15317	3	0	
071806	14:15	111	expblock1	1	1	6	22572	1	0	
071806	14:15	111	expblock1	1	1	7	15131	6	0	
071806	14:15	111	expblock1	1	1	8	25648	1	0	
071806	14:15	111	expblock1	1	1	9	35337	8	0	
071806	14:15	111	expblock1	1	1	10	25708	4	0	
071806	14:15	111	expblock1	1	1	11	14334	5	0	
071806	14:15	111	expblock1	1	1	12	11729	6	0	
071806	14:15	111	expblock2	1	1	13	68193	2	0	
071806	14:15	111	expblock2	1	1	14	50685	1	0	
071806	14:15	111	expblock2	1	1	15	41382	2	0	
071806	14:15	111	expblock2	1	1	16	42139	6	0	
071806	14:15	111	expblock2	1	1	17	58940	3	0	
071806	14:15	111	expblock2	1	1	18	66476	7	0	
071806	14:15	111	expblock2	1	1	19	53822	3	0	
071806	14:15	111	expblock2	1	1	20	63146	2	0	
071806	14:15	111	expblock2	1	1	21	50800	1	0	
071806	14:15	111	expblock2	1	1	22	87627	2	0	
071806	14:15	111	expblock2	1	1	23	55758	5	0	
071806	14:15	111	expblock2	1	1	24	33200	2	0	
071806	14:15	111	expblock3	1	1	25	55068	4	0	
071806	14:15	111	expblock3	1	1	26	91982	5	0	
071806	14:15	111	expblock3	1	1	27	82940	7	0	
071806	14:15	111	expblock3	1	1	28	84949	1	0	
071806	14:15	111	expblock3	1	1	29	62240	2	0	
071806	14:15	111	expblock3	1	1	30	79736	3	0	
071806	14:15	111	expblock3	1	1	31	96759	3	0	
071806	14:15	111	expblock3	1	1	32	125156	1	0	
071806	14:15	111	expblock3	1	1	33	159574	5	0	
071806	14:15	111	expblock3	1	1	34	62991	5	0	
071806	14:15	111	expblock3	1	1	35	129199	4	0	
071806	14:15	111	expblock3	1	1	36	70785	5	0	
