date	time	subject	trialcode	trialnum	latency	response
070109	14:54	750	JAPR17	1	16434	4
070109	14:54	750	PR17 emerald	2	13530	stuso
070109	14:54	750	JAPR27	3	11298	6
070109	14:54	750	PR27 wheat	4	28717	bro
070109	14:54	750	JAPR07	5	14760	5
070109	14:54	750	PR07 bog	6	10466	*98u
070109	14:54	750	JAPR23	7	16239	3
070109	14:54	750	PR23 companion	8	4507	stut
070109	14:54	750	JAPR06	9	14043	5
070109	14:54	750	PR06 beast	10	6386	747uruty
070109	14:54	750	JAPR09	11	5958	1
070109	14:54	750	PR09 album	12	7237	=--0884893
070109	14:54	750	JAPR21	13	6454	1
070109	14:54	750	PR21 innocence	14	6415	stay
070109	14:54	750	JAPR01	15	10388	4
070109	14:54	750	PR01 cash	16	12326	tonight
070109	14:54	750	JAPR11	17	10388	8
070109	14:54	750	PR11 ounce	18	6892	fun
070109	14:54	750	JAPR25	19	7947	4
070109	14:54	750	PR25 saliva	20	12315	enzime
070109	14:54	750	JAPR30	21	6064	4
070109	14:54	750	PR30 maiden	22	6222	who
070109	14:54	750	JAPR03	23	7644	8
070109	14:54	750	PR03 acre	24	10667	0
070109	14:54	750	JAPR13	25	7380	3
070109	14:54	750	PR13 ambition	26	4659	ambition
070109	14:54	750	JAPR04	27	4587	4
070109	14:54	750	PR04 diaper	28	6887	discipline
070109	14:54	750	JAUR53	1	9469	5
070109	14:54	750	UR53 hell	2	2063	0
070109	14:54	750	JAUR13	3	8310	9
070109	14:54	750	UR13 almanac	4	7239	falacy
070109	14:54	750	JAHL07	5	9857	8
070109	14:54	750	HL07 king	6	3245	stay
070109	14:54	750	JALH05	7	4911	4
070109	14:54	750	LH05 chain	8	2386	0
070109	14:54	750	JALH02	9	3466	3
070109	14:54	750	LH02 harm	10	2779	harm
070109	14:54	750	JAUR64	11	8217	3
070109	14:54	750	UR64 fist	12	5931	who
070109	14:54	750	JAUR32	13	5863	1
070109	14:54	750	UR32 navigator	14	5455	but
070109	14:54	750	JALH50	15	6201	3
070109	14:54	750	LH50 measure	16	2512	needle
070109	14:54	750	JALH27	17	6621	5
070109	14:54	750	LH27 condition	18	3426	control
070109	14:54	750	JAHL17	19	4043	7
070109	14:54	750	HL17 soap	20	3801	who
070109	14:54	750	JAUR74	21	4827	1
070109	14:54	750	UR74 suitcase	22	2950	suprise
070109	14:54	750	JAHL36	23	4968	4
070109	14:54	750	HL36 football	24	3072	football
070109	14:54	750	JALH20	25	7055	1
070109	14:54	750	LH20 violation	26	5726	violent
070109	14:54	750	JALH54	27	3800	4
070109	14:54	750	LH54 limit	28	2787	limit
070109	14:54	750	JALH51	29	4492	4
