date	time	subject	trialcode	trialnum	latency	response
061609	12:04	713	JAPR17	1	24032	4
061609	12:04	713	PR17 emerald	2	18016	emerald
061609	12:04	713	JAPR27	3	8166	5
061609	12:04	713	PR27 wheat	4	8679	man
061609	12:04	713	JAPR07	5	6928	5
061609	12:04	713	PR07 bog	6	2616	0
061609	12:04	713	JAPR23	7	5393	8
061609	12:04	713	PR23 companion	8	5390	communist
061609	12:04	713	JAPR06	9	4258	2
061609	12:04	713	PR06 beast	10	4239	beast
061609	12:04	713	JAPR09	11	5497	6
061609	12:04	713	PR09 album	12	4499	alarm
061609	12:04	713	JAPR21	13	3796	6
061609	12:04	713	PR21 innocence	14	3980	intact
061609	12:04	713	JAPR01	15	3030	6
061609	12:04	713	PR01 cash	16	4094	cars
061609	12:04	713	JAPR11	17	9312	6
061609	12:04	713	PR11 ounce	18	2204	0
061609	12:04	713	JAPR25	19	4210	1
061609	12:04	713	PR25 saliva	20	3781	satelite
061609	12:04	713	JAPR30	21	2839	6
061609	12:04	713	PR30 maiden	22	2677	maiden
061609	12:04	713	JAPR03	23	4242	9
061609	12:04	713	PR03 acre	24	2754	acre
061609	12:04	713	JAPR13	25	5502	6
061609	12:04	713	PR13 ambition	26	3408	ambition
061609	12:04	713	JAPR04	27	6823	3
061609	12:04	713	PR04 diaper	28	2735	diaper
061609	12:04	713	JAUR53	1	1883	6
061609	12:04	713	UR53 hell	2	3805	helm
061609	12:04	713	JAUR13	3	1930	6
061609	12:04	713	UR13 almanac	4	3301	animal
061609	12:04	713	JAHL07	5	3190	7
061609	12:04	713	HL07 king	6	4780	king
061609	12:04	713	JALH05	7	3179	6
061609	12:04	713	LH05 chain	8	3556	chain
061609	12:04	713	JALH02	9	2053	6
061609	12:04	713	LH02 harm	10	2676	harm
061609	12:04	713	JAUR64	11	3638	6
061609	12:04	713	UR64 fist	12	2469	first
061609	12:04	713	JAUR32	13	1942	6
061609	12:04	713	UR32 navigator	14	5776	alligator
061609	12:04	713	JALH50	15	2633	4
061609	12:04	713	LH50 measure	16	2875	measure
061609	12:04	713	JALH27	17	7578	1
061609	12:04	713	LH27 condition	18	2877	control
061609	12:04	713	JAHL17	19	2224	6
061609	12:04	713	HL17 soap	20	3869	soap
061609	12:04	713	JAUR74	21	4467	2
061609	12:04	713	UR74 suitcase	22	3052	suitcase
061609	12:04	713	JAHL36	23	7618	5
061609	12:04	713	HL36 football	24	3280	football
061609	12:04	713	JALH20	25	1435	5
061609	12:04	713	LH20 violation	26	3044	violation
061609	12:04	713	JALH54	27	3483	8
061609	12:04	713	LH54 limit	28	2154	limit
061609	12:04	713	JALH51	29	3986	9
061609	12:04	713	LH51 exit	30	2037	exit
061609	12:04	713	JAUR35	31	2487	9
061609	12:04	713	UR35 cause	32	1816	cause
061609	12:04	713	JALH19	33	2541	9
061609	12:04	713	LH19 snob	34	6563	slob
061609	12:04	713	JAHL51	35	1243	9
