date	time	subject	trialcode	trialnum	latency	response
061909	11:59	728	JSPR17	1	33445	8
061909	11:59	728	PR17 emerald	2	34865	emerald
061909	11:59	728	JSPR27	3	30544	9
061909	11:59	728	PR27 wheat	4	9483	snow
061909	11:59	728	JSPR07	5	6478	8
061909	11:59	728	PR07 bog	6	12660	fly
061909	11:59	728	JSPR23	7	11444	5
061909	11:59	728	PR23 companion	8	4158	companion
061909	11:59	728	JSPR06	9	7491	7
061909	11:59	728	PR06 beast	10	4133	beast
061909	11:59	728	JSPR09	11	6113	8
061909	11:59	728	PR09 album	12	15247	lime
061909	11:59	728	JSPR21	13	8534	4
061909	11:59	728	PR21 innocence	14	4298	control
061909	11:59	728	JSPR01	15	5655	6
061909	11:59	728	PR01 cash	16	3648	cash
061909	11:59	728	JSPR11	17	4690	8
061909	11:59	728	PR11 ounce	18	6022	ounce
061909	11:59	728	JSPR25	19	6367	9
061909	11:59	728	PR25 saliva	20	10314	pencil
061909	11:59	728	JSPR30	21	3841	7
061909	11:59	728	PR30 maiden	22	5314	maid
061909	11:59	728	JSPR03	23	4123	8
061909	11:59	728	PR03 acre	24	3032	corn
061909	11:59	728	JSPR13	25	5364	5
061909	11:59	728	PR13 ambition	26	2563	ambition
061909	11:59	728	JSPR04	27	7868	7
061909	11:59	728	PR04 diaper	28	2293	diaper
061909	11:59	728	JSPR28	29	5481	8
061909	11:59	728	PR28 challenge	30	2811	challenge
061909	11:59	728	JSUR42	1	9677	7
061909	11:59	728	UR42 sergeant	2	5761	sergeant
061909	11:59	728	JSUR52	3	10576	7
061909	11:59	728	UR52 knight	4	2179	knight
061909	11:59	728	JSLH01	5	5013	9
061909	11:59	728	LH01 brain	6	2219	brain
061909	11:59	728	JSHL45	7	3475	8
061909	11:59	728	HL45 words	8	2068	words
061909	11:59	728	JSLH03	9	4499	9
061909	11:59	728	LH03 yard	10	2239	yard
061909	11:59	728	JSHL21	11	2862	8
061909	11:59	728	HL21 empire	12	3042	empire
061909	11:59	728	JSLH38	13	4062	7
061909	11:59	728	LH38 paint	14	3582	glove
061909	11:59	728	JSLH43	15	7306	8
061909	11:59	728	LH43 noise	16	1876	noise
061909	11:59	728	JSLH37	17	3027	7
061909	11:59	728	LH37 pad	18	7839	paid
061909	11:59	728	JSHL07	19	3058	8
061909	11:59	728	HL07 king	20	1741	king
061909	11:59	728	JSHL39	21	8074	5
061909	11:59	728	HL39 book	22	1714	book
061909	11:59	728	JSLH24	23	3640	8
061909	11:59	728	LH24 feeling	24	2922	feeling
061909	11:59	728	JSHL42	25	3516	7
061909	11:59	728	HL42 pie	26	1515	pie
061909	11:59	728	JSUR30	27	6969	9
061909	11:59	728	UR30 lover	28	3034	love
061909	11:59	728	JSUR95	29	6278	6
061909	11:59	728	UR95 fool	30	3709	fool
061909	11:59	728	JSLH20	31	2980	8
061909	11:59	728	LH20 violation	32	3518	violation
061909	11:59	728	JSUR96	33	12279	7
061909	11:59	728	UR96 dessert	34	3677	desert
061909	11:59	728	JSUR66	35	9855	5
061909	11:59	728	UR66 chief	36	3743	chief
061909	11:59	728	JSHL17	37	10687	5
061909	11:59	728	HL17 soap	38	2317	soap
061909	11:59	728	JSUR06	39	6043	5
061909	11:59	728	UR06 cello	40	3876	control
061909	11:59	728	JSLH32	41	4596	6
061909	11:59	728	LH32 capacity	42	3588	capacity
061909	11:59	728	JSUR103	43	4264	7
061909	11:59	728	UR103 hula	44	2592	hula
061909	11:59	728	JSHL23	45	3721	7
061909	11:59	728	HL23 baby	46	1624	baby
061909	11:59	728	JSUR63	47	4257	8
061909	11:59	728	UR63 alley	48	5248	medicine
061909	11:59	728	JSLH11	49	3124	5
061909	11:59	728	LH11 cancer	50	4053	cancer
061909	11:59	728	JSHL03	51	5781	6
061909	11:59	728	HL03 cigarette	52	4297	cigarette
061909	11:59	728	JSUR28	53	3998	5
061909	11:59	728	UR28 bang	54	3608	bang
061909	11:59	728	JSLH04	55	3332	5
061909	11:59	728	LH04 grade	56	7947	control
061909	11:59	728	JSHL01	57	5889	3
061909	11:59	728	HL01 elephant	58	2208	elephant
061909	11:59	728	JSLH27	59	5888	2
061909	11:59	728	LH27 condition	60	2112	condition
061909	11:59	728	JSLH51	61	4436	3
061909	11:59	728	LH51 exit	62	5987	plug
