date	time	subject	trialcode	trialnum	latency	response
062909	06:52	731	JAseePR17	1	500	0
062909	06:52	731	PR17 emerald	2	33465	emerald
062909	06:52	731	JAPR17	3	31680	3
062909	06:52	731	JAseePR27	4	500	0
062909	06:52	731	PR27 wheat	5	7657	0
062909	06:52	731	JAPR27	6	2650	9
062909	06:52	731	JAseePR07	7	500	0
062909	06:52	731	PR07 bog	8	27557	marriage
062909	06:52	731	JAPR07	9	10828	1
062909	06:52	731	JAseePR23	10	500	0
062909	06:52	731	PR23 companion	11	12813	control
062909	06:52	731	JAPR23	12	7155	2
062909	06:52	731	JAseePR06	13	500	0
062909	06:52	731	PR06 beast	14	8309	beast
062909	06:52	731	JAPR06	15	9673	1
062909	06:52	731	JAseePR09	16	500	0
062909	06:52	731	PR09 album	17	7420	bell
062909	06:52	731	JAPR09	18	12403	1
062909	06:52	731	JAseePR21	19	500	0
062909	06:52	731	PR21 innocence	20	11075	scent
062909	06:52	731	JAPR21	21	7101	1
062909	06:52	731	JAseePR01	22	500	0
062909	06:52	731	PR01 cash	23	16869	cashew
062909	06:52	731	JAPR01	24	4201	2
062909	06:52	731	JAseePR11	25	500	0
062909	06:52	731	PR11 ounce	26	11104	blue
062909	06:52	731	JAPR11	27	1803	1
062909	06:52	731	JAseePR25	28	500	0
062909	06:52	731	PR25 saliva	29	10105	saliva
062909	06:52	731	JAPR25	30	1739	1
062909	06:52	731	JAseePR30	31	500	0
062909	06:52	731	PR30 maiden	32	10110	mouse
062909	06:52	731	JAPR30	33	4893	1
062909	06:52	731	JAseePR03	34	500	0
062909	06:52	731	PR03 acre	35	8733	peanut
062909	06:52	731	JAPR03	36	986	1
062909	06:52	731	JAseePR13	37	500	0
062909	06:52	731	PR13 ambition	38	13672	player
062909	06:52	731	JAPR13	39	10780	1
062909	06:52	731	JAseePR04	40	500	0
062909	06:52	731	PR04 diaper	41	9129	diaper
062909	06:52	731	JAPR04	42	3788	1
062909	06:52	731	JAseeUR53	1	500	0
062909	06:52	731	UR53 hell	2	6304	hell
062909	06:52	731	JAUR53	3	2813	1
062909	06:52	731	JAseeUR13	4	500	0
062909	06:52	731	UR13 almanac	5	7761	elevator
062909	06:52	731	JAUR13	6	1823	1
062909	06:52	731	JAseeHL07	7	500	0
062909	06:52	731	HL07 king	8	3237	king
062909	06:52	731	JAHL07	9	2444	1
062909	06:52	731	JAseeLH05	10	500	0
062909	06:52	731	LH05 chain	11	7654	tree
062909	06:52	731	JALH05	12	1949	1
062909	06:52	731	JAseeLH02	13	500	0
062909	06:52	731	LH02 harm	14	2801	harm
062909	06:52	731	JALH02	15	4590	1
062909	06:52	731	JAseeUR64	16	500	0
062909	06:52	731	UR64 fist	17	2646	fire
062909	06:52	731	JAUR64	18	3020	1
062909	06:52	731	JAseeUR32	19	500	0
062909	06:52	731	UR32 navigator	20	5513	harvest
062909	06:52	731	JAUR32	21	4341	1
062909	06:52	731	JAseeLH50	22	500	0
062909	06:52	731	LH50 measure	23	5187	measure
062909	06:52	731	JALH50	24	4770	1
062909	06:52	731	JAseeLH27	25	500	0
062909	06:52	731	LH27 condition	26	5646	law
062909	06:52	731	JALH27	27	2626	1
062909	06:52	731	JAseeHL17	28	500	0
062909	06:52	731	HL17 soap	29	6938	soap
062909	06:52	731	JAHL17	30	846	1
062909	06:52	731	JAseeUR74	31	500	0
062909	06:52	731	UR74 suitcase	32	4235	suitcase
062909	06:52	731	JAUR74	33	912	1
062909	06:52	731	JAseeHL36	34	500	0
062909	06:52	731	HL36 football	35	6729	foothill
062909	06:52	731	JAHL36	36	3624	1
062909	06:52	731	JAseeLH20	37	500	0
062909	06:52	731	LH20 violation	38	5342	violation
062909	06:52	731	JALH20	39	5966	1
062909	06:52	731	JAseeLH54	40	500	0
062909	06:52	731	LH54 limit	41	6129	sight
062909	06:52	731	JALH54	42	872	1
062909	06:52	731	JAseeLH51	43	500	0
062909	06:52	731	LH51 exit	44	8638	excitement
062909	06:52	731	JALH51	45	3791	1
062909	06:52	731	JAseeUR35	46	500	0
062909	06:52	731	UR35 cause	47	8167	pathogen
062909	06:52	731	JAUR35	48	2820	1
062909	06:52	731	JAseeLH19	49	500	0
062909	06:52	731	LH19 snob	50	11199	nose
062909	06:52	731	JALH19	51	26468	1
062909	06:52	731	JAseeHL51	52	500	0
062909	06:52	731	HL51 color	53	4498	control
062909	06:52	731	JAHL51	54	2793	1
062909	06:52	731	JAseeHL47	55	500	0
062909	06:52	731	HL47 horse	56	6154	horse
062909	06:52	731	JAHL47	57	10065	1
062909	06:52	731	JAseeUR45	58	500	0
062909	06:52	731	UR45 bridge	59	15804	helmet
062909	06:52	731	JAUR45	60	3061	1
062909	06:52	731	JAseeUR69	61	500	0
062909	06:52	731	UR69 flashlight	62	4638	soda
062909	06:52	731	JAUR69	63	55752	1
062909	06:52	731	JAseeUR76	64	500	0
062909	06:52	731	UR76 dignity	65	5677	control
062909	06:52	731	JAUR76	66	3444	1
062909	06:52	731	JAseeLH24	67	500	0
062909	06:52	731	LH24 feeling	68	6230	holy
062909	06:52	731	JALH24	69	3331	4
062909	06:52	731	JAseeHL53	70	500	0
062909	06:52	731	HL53 fish	71	4465	fish
062909	06:52	731	JAHL53	72	6754	2
062909	06:52	731	JAseeUR55	73	500	0
062909	06:52	731	UR55 bargain	74	5651	bargain
062909	06:52	731	JAUR55	75	13976	1
062909	06:52	731	JAseeUR50	76	500	0
062909	06:52	731	UR50 crane	77	8337	work
062909	06:52	731	JAUR50	78	12952	1
062909	06:52	731	JAseeHL43	79	500	0
062909	06:52	731	HL43 money	80	3697	money
062909	06:52	731	JAHL43	81	3928	1
062909	06:52	731	JAseeLH11	82	500	0
062909	06:52	731	LH11 cancer	83	5895	cancer
062909	06:52	731	JALH11	84	2172	2
062909	06:52	731	JAseeUR77	85	500	0
062909	06:52	731	UR77 uncle	86	6967	uncle
062909	06:52	731	JAUR77	87	2790	1
062909	06:52	731	JAseeUR27	88	500	0
062909	06:52	731	UR27 consequence	89	7304	consequence
062909	06:52	731	JAUR27	90	2514	3
062909	06:52	731	JAseeUR68	91	500	0
062909	06:52	731	UR68 fatigue	92	4836	fatigue
062909	06:52	731	JAUR68	93	3815	1
062909	06:52	731	JAseeUR22	94	500	0
062909	06:52	731	UR22 thesaurus	95	2729	beat
062909	06:52	731	JAUR22	96	3441	4
062909	06:52	731	JAseeUR07	97	500	0
062909	06:52	731	UR07 gathering	98	9602	golf ball
062909	06:52	731	JAUR07	99	2649	1
062909	06:52	731	JAseeUR95	100	500	0
062909	06:52	731	UR95 fool	101	2333	foot
062909	06:52	731	JAUR95	102	11978	4
062909	06:52	731	JAseeUR63	103	500	0
062909	06:52	731	UR63 alley	104	6535	aloe vera
062909	06:52	731	JAUR63	105	2711	4
062909	06:52	731	JAseeUR06	106	500	0
062909	06:52	731	UR06 cello	107	4799	cellular
062909	06:52	731	JAUR06	108	4408	5
062909	06:52	731	JAseeHL34	109	500	0
062909	06:52	731	HL34 hunger	110	4408	hunger
062909	06:52	731	JAHL34	111	10162	5
062909	06:52	731	JAseeUR66	112	500	0
062909	06:52	731	UR66 chief	113	6205	jello
062909	06:52	731	JAUR66	114	4493	5
062909	06:52	731	JAseeUR67	115	500	0
062909	06:52	731	UR67 producer	116	5431	loaf
062909	06:52	731	JAUR67	117	4872	5
062909	06:52	731	JAseeUR36	118	500	0
062909	06:52	731	UR36 denim	119	6721	delaware
062909	06:52	731	JAUR36	120	5437	1
062909	06:52	731	JAseeUR34	121	500	0
062909	06:52	731	UR34 charity	122	8831	shallow
062909	06:52	731	JAUR34	123	6244	5
062909	06:52	731	JAseeLH14	124	500	0
062909	06:52	731	LH14 note	125	4519	cold
062909	06:52	731	JALH14	126	3497	5
062909	06:52	731	JAseeHL50	127	500	0
062909	06:52	731	HL50 doctor	128	3910	hello
062909	06:52	731	JAHL50	129	5024	5
062909	06:52	731	JAseeLH03	130	500	0
062909	06:52	731	LH03 yard	131	4064	yard
062909	06:52	731	JALH03	132	8299	1
062909	06:52	731	JAseeLH22	133	500	0
062909	06:52	731	LH22 crowd	134	8869	oats
062909	06:52	731	JALH22	135	4537	1
062909	06:52	731	JAseeUR46	136	500	0
062909	06:52	731	UR46 content	137	6822	content
062909	06:52	731	JAUR46	138	2745	5
062909	06:52	731	JAseeUR75	139	500	0
062909	06:52	731	UR75 awe	140	3367	awwe
062909	06:52	731	JAUR75	141	2661	1
062909	06:52	731	JAseeUR78	142	500	0
062909	06:52	731	UR78 blender	143	4796	blender
062909	06:52	731	JAUR78	144	3329	1
062909	06:52	731	JAseeHL39	145	500	0
062909	06:52	731	HL39 book	146	2459	book
062909	06:52	731	JAHL39	147	1382	1
062909	06:52	731	JAseeUR62	148	500	0
062909	06:52	731	UR62 chemistry	149	6784	alergen
062909	06:52	731	JAUR62	150	1993	5
062909	06:52	731	JAseeLH04	151	500	0
062909	06:52	731	LH04 grade	152	6084	marker
062909	06:52	731	JALH04	153	1737	1
062909	06:52	731	JAseeHL03	154	500	0
062909	06:52	731	HL03 cigarette	155	15564	ashes
062909	06:52	731	JAHL03	156	5425	1
062909	06:52	731	JAseeUR20	157	500	0
062909	06:52	731	UR20 climax	158	4864	temperature
062909	06:52	731	JAUR20	159	11777	1
062909	06:52	731	JAseeLH23	160	500	0
062909	06:52	731	LH23 possibility	161	4300	publisher
062909	06:52	731	JALH23	162	7971	6
062909	06:52	731	JAseeHL09	163	500	0
062909	06:52	731	HL09 chalk	164	5370	clerk
062909	06:52	731	JAHL09	165	1389	5
062909	06:52	731	JAseeLH01	166	500	0
062909	06:52	731	LH01 brain	167	2543	brain
062909	06:52	731	JALH01	168	1609	5
062909	06:52	731	JAseeHL42	169	500	0
062909	06:52	731	HL42 pie	170	4747	pic nic
062909	06:52	731	JAHL42	171	7487	5
062909	06:52	731	JAseeLH43	172	500	0
062909	06:52	731	LH43 noise	173	7548	scholastics
062909	06:52	731	JALH43	174	3578	5
062909	06:52	731	JAseeLH30	175	500	0
062909	06:52	731	LH30 assignment	176	6719	melt down
062909	06:52	731	JALH30	177	3255	6
062909	06:52	731	JAseeLH53	178	500	0
062909	06:52	731	LH53 core	179	5332	score
062909	06:52	731	JALH53	180	3109	1
062909	06:52	731	JAseeUR47	181	500	0
062909	06:52	731	UR47 chimpanzee	182	6076	chimpanzee
062909	06:52	731	JAUR47	183	2476	5
062909	06:52	731	JAseeUR42	184	500	0
062909	06:52	731	UR42 sergeant	185	4675	supper
062909	06:52	731	JAUR42	186	8166	6
062909	06:52	731	JAseeUR01	187	500	0
062909	06:52	731	UR01 file	188	3768	filer
062909	06:52	731	JAUR01	189	2695	1
062909	06:52	731	JAseeUR87	190	500	0
062909	06:52	731	UR87 duty	191	3849	dwell
062909	06:52	731	JAUR87	192	3881	3
062909	06:52	731	JAseeHL24	193	500	0
062909	06:52	731	HL24 eye	194	3356	sine
062909	06:52	731	JAHL24	195	4431	5
062909	06:52	731	JAseeUR58	196	500	0
062909	06:52	731	UR58 answer	197	4887	brake
062909	06:52	731	JAUR58	198	2579	5
062909	06:52	731	JAseeHL41	199	500	0
062909	06:52	731	HL41 hand	200	5655	half
062909	06:52	731	JAHL41	201	2760	5
062909	06:52	731	JAseeUR54	202	500	0
062909	06:52	731	UR54 steam	203	3356	stream
062909	06:52	731	JAUR54	204	4362	5
062909	06:52	731	JAseeUR82	205	500	0
062909	06:52	731	UR82 campus	206	3695	campus
062909	06:52	731	JAUR82	207	6910	1
062909	06:52	731	JAseeHL49	208	500	0
062909	06:52	731	HL49 spice	209	4980	spades
062909	06:52	731	JAHL49	210	2969	1
062909	06:52	731	JAseeUR103	211	500	0
062909	06:52	731	UR103 hula	212	7360	yellow
062909	06:52	731	JAUR103	213	2864	1
062909	06:52	731	JAseeUR70	214	500	0
062909	06:52	731	UR70 pajamas	215	4346	pajamas
062909	06:52	731	JAUR70	216	2522	1
062909	06:52	731	JAseeHL23	217	500	0
062909	06:52	731	HL23 baby	218	7034	poison
062909	06:52	731	JAHL23	219	6022	5
062909	06:52	731	JAseeLH09	220	500	0
062909	06:52	731	LH09 piece	221	3542	pieces
062909	06:52	731	JALH09	222	6716	1
062909	06:52	731	JAseeHL05	223	500	0
062909	06:52	731	HL05 mountain	224	4496	mountain
062909	06:52	731	JAHL05	225	2076	1
062909	06:52	731	JAseeHL25	226	500	0
062909	06:52	731	HL25 cut	227	3703	cute
062909	06:52	731	JAHL25	228	6716	1
062909	06:52	731	JAseeHL32	229	500	0
062909	06:52	731	HL32 television	230	5669	television
062909	06:52	731	JAHL32	231	5978	5
062909	06:52	731	JAseeLH38	232	500	0
062909	06:52	731	LH38 paint	233	4406	painter
062909	06:52	731	JALH38	234	2802	1
062909	06:52	731	JAseeUR52	235	500	0
062909	06:52	731	UR52 knight	236	5246	nope
062909	06:52	731	JAUR52	237	2808	1
062909	06:52	731	JAseePR28	238	500	0
062909	06:52	731	PR28 challenge	239	4061	college
062909	06:52	731	JAPR28	240	23309	1
062909	06:52	731	JAseeLH25	241	500	0
062909	06:52	731	LH25 track	242	10870	scattered
062909	06:52	731	JALH25	243	8405	5
062909	06:52	731	JAseeUR24	244	500	0
062909	06:52	731	UR24 kid	245	7601	kin folk
062909	06:52	731	JAUR24	246	23512	1
062909	06:52	731	JAseeUR17	247	500	0
062909	06:52	731	UR17 trance	248	3958	hunter
062909	06:52	731	JAUR17	249	2453	5
062909	06:52	731	JAseeHL10	250	500	0
062909	06:52	731	HL10 cow	251	1407	cow
062909	06:52	731	JAHL10	252	3006	5
062909	06:52	731	JAseeUR30	253	500	0
062909	06:52	731	UR30 lover	254	3077	lover
062909	06:52	731	JAUR30	255	2563	1
062909	06:52	731	JAseeUR14	256	500	0
062909	06:52	731	UR14 fudge	257	4194	cognitive
062909	06:52	731	JAUR14	258	1938	5
062909	06:52	731	JAseeUR60	259	500	0
062909	06:52	731	UR60 plaque	260	8286	dow
062909	06:52	731	JAUR60	261	1992	5
062909	06:52	731	JAseeHL21	262	500	0
062909	06:52	731	HL21 empire	263	4921	empire
062909	06:52	731	JAHL21	264	3196	1
062909	06:52	731	JAseeHL45	265	500	0
062909	06:52	731	HL45 words	266	3679	local
062909	06:52	731	JAHL45	267	2872	5
062909	06:52	731	JAseeUR107	268	500	0
062909	06:52	731	UR107 cocaine	269	4310	splinter
062909	06:52	731	JAUR107	270	4237	5
062909	06:52	731	JAseeLH46	271	500	0
062909	06:52	731	LH46 submarine	272	9619	salomi
062909	06:52	731	JALH46	273	2251	5
062909	06:52	731	JAseeUR85	274	500	0
062909	06:52	731	UR85 stroke	275	3760	stroke
062909	06:52	731	JAUR85	276	3559	5
062909	06:52	731	JAseeUR28	277	500	0
062909	06:52	731	UR28 bang	278	4298	letter
062909	06:52	731	JAUR28	279	2335	5
062909	06:52	731	JAseeUR98	280	500	0
062909	06:52	731	UR98 latch	281	6582	hot dog
062909	06:52	731	JAUR98	282	6743	5
062909	06:52	731	JAseeUR105	283	500	0
062909	06:52	731	UR105 curtain	284	6030	curtain
062909	06:52	731	JAUR105	285	6591	1
062909	06:52	731	JAseeUR65	286	500	0
062909	06:52	731	UR65 checkers	287	3801	crackers
062909	06:52	731	JAUR65	288	1387	5
062909	06:52	731	JAseeUR106	289	500	0
062909	06:52	731	UR106 eagle	290	3071	eagle
062909	06:52	731	JAUR106	291	1736	1
062909	06:52	731	JAseeLH17	292	500	0
062909	06:52	731	LH17 life	293	6169	life
062909	06:52	731	JALH17	294	3307	1
062909	06:52	731	JAseeUR04	295	500	0
062909	06:52	731	UR04 marsh	296	5950	march
062909	06:52	731	JAUR04	297	7848	5
062909	06:52	731	JAseeHL31	298	500	0
062909	06:52	731	HL31 war	299	2972	war
062909	06:52	731	JAHL31	300	5141	1
062909	06:52	731	JAseeLH07	301	500	0
062909	06:52	731	LH07 rear	302	5568	retail
062909	06:52	731	JALH07	303	2759	1
062909	06:52	731	JAseeHL33	304	500	0
062909	06:52	731	HL33 joke	305	4584	punnish
