date	time	subject	trialcode	trialnum	latency	response
060309	11:56	702	JSseePR17	1	500	0
060309	11:56	702	PR17 emerald	2	19608	&
060309	11:56	702	JSPR17	3	26225	10
060309	11:56	702	JSseePR27	4	500	0
060309	11:56	702	PR27 wheat	5	4767	time
060309	11:56	702	JSPR27	6	28199	5
060309	11:56	702	JSseePR07	7	500	0
060309	11:56	702	PR07 bog	8	6190	jazz
060309	11:56	702	JSPR07	9	11464	7
060309	11:56	702	JSseePR23	10	500	0
060309	11:56	702	PR23 companion	11	6930	comparison
060309	11:56	702	JSPR23	12	4644	2
060309	11:56	702	JSseePR06	13	500	0
060309	11:56	702	PR06 beast	14	3496	beast
060309	11:56	702	JSPR06	15	5736	5
060309	11:56	702	JSseePR09	16	500	0
060309	11:56	702	PR09 album	17	4788	alarm
060309	11:56	702	JSPR09	18	9419	2
060309	11:56	702	JSseePR21	19	500	0
060309	11:56	702	PR21 innocence	20	5702	correct
060309	11:56	702	JSPR21	21	2831	1
060309	11:56	702	JSseePR01	22	500	0
060309	11:56	702	PR01 cash	23	3833	cashew
060309	11:56	702	JSPR01	24	11522	5
060309	11:56	702	JSseePR11	25	500	0
060309	11:56	702	PR11 ounce	26	4986	oustide
060309	11:56	702	JSPR11	27	2633	1
060309	11:56	702	JSseePR25	28	500	0
060309	11:56	702	PR25 saliva	29	4700	saltine
060309	11:56	702	JSPR25	30	2711	2
060309	11:56	702	JSseePR30	31	500	0
060309	11:56	702	PR30 maiden	32	5055	majority
060309	11:56	702	JSPR30	33	1539	2
060309	11:56	702	JSseePR03	34	500	0
060309	11:56	702	PR03 acre	35	3606	acorn
060309	11:56	702	JSPR03	36	1545	2
060309	11:56	702	JSseePR13	37	500	0
060309	11:56	702	PR13 ambition	38	10236	amueter
060309	11:56	702	JSPR13	39	3246	2
060309	11:56	702	JSseePR04	40	500	0
060309	11:56	702	PR04 diaper	41	3519	earring
060309	11:56	702	JSPR04	42	1686	1
060309	11:56	702	JSseePR28	43	500	0
060309	11:56	702	PR28 challenge	44	4499	chamber
060309	11:56	702	JSPR28	45	1927	1
060309	11:56	702	JSseeUR42	1	500	0
060309	11:56	702	UR42 sergeant	2	3534	servant
060309	11:56	702	JSUR42	3	4076	3
060309	11:56	702	JSseeUR52	4	500	0
060309	11:56	702	UR52 knight	5	3584	knot
060309	11:56	702	JSUR52	6	1085	1
060309	11:56	702	JSseeLH01	7	500	0
060309	11:56	702	LH01 brain	8	2932	since
060309	11:56	702	JSLH01	9	5101	2
060309	11:56	702	JSseeHL45	10	500	0
060309	11:56	702	HL45 words	11	3452	language
060309	11:56	702	JSHL45	12	2382	2
060309	11:56	702	JSseeLH03	13	500	0
060309	11:56	702	LH03 yard	14	3220	court
060309	11:56	702	JSLH03	15	2713	2
060309	11:56	702	JSseeHL21	16	500	0
060309	11:56	702	HL21 empire	17	3464	greek
060309	11:56	702	JSHL21	18	2209	2
060309	11:56	702	JSseeLH38	19	500	0
060309	11:56	702	LH38 paint	20	3711	paint
060309	11:56	702	JSLH38	21	4246	2
060309	11:56	702	JSseeLH43	22	500	0
060309	11:56	702	LH43 noise	23	4027	scenery
060309	11:56	702	JSLH43	24	1997	2
060309	11:56	702	JSseeLH37	25	500	0
060309	11:56	702	LH37 pad	26	5924	asprin
060309	11:56	702	JSLH37	27	946	6
060309	11:56	702	JSseeHL07	28	500	0
060309	11:56	702	HL07 king	29	3327	chair
