date	time	subject	trialcode	trialnum	latency	response	
090607	15:06	823	JAPR17	1	68463	5	
090607	15:06	823	PR17 emerald	2	39011	tree	
090607	15:06	823	JAPR27	3	18066	7	
090607	15:06	823	PR27 wheat	4	19549	women	
090607	15:06	823	JAPR07	5	16734	10	
090607	15:06	823	PR07 bog	6	15947	music	
090607	15:06	823	JAPR23	7	24958	6	
090607	15:06	823	PR23 companion	8	4265	cuba	
090607	15:06	823	JAPR06	9	31635	8	
090607	15:06	823	PR06 beast	10	5289	blonde	
090607	15:06	823	JAPR09	11	9854	6	
090607	15:06	823	PR09 album	12	6308	wake up	
090607	15:06	823	JAPR21	13	13616	3	
090607	15:06	823	PR21 innocence	14	6528	view	
090607	15:06	823	JAPR01	15	10552	6	
090607	15:06	823	PR01 cash	16	3163	nut	
090607	15:06	823	JAPR11	17	20887	4	
090607	15:06	823	PR11 ounce	18	2975	sun	
090607	15:06	823	JAPR25	19	7016	10	
090607	15:06	823	PR25 saliva	20	4876	eat	
090607	15:06	823	JAPR30	21	9971	9	
090607	15:06	823	PR30 maiden	22	7460	many	
090607	15:06	823	JAPR03	23	7667	10	
090607	15:06	823	PR03 acre	24	3322	tree	
090607	15:06	823	JAPR13	25	11448	6	
090607	15:06	823	PR13 ambition	26	3020	creature	
090607	15:06	823	JAPR04	27	7542	9	
090607	15:06	823	PR04 diaper	28	7871	necklace	
090607	15:06	823	JAUR53	1	17723	8	
090607	15:06	823	UR53 hell	2	4777	tailor	
090607	15:06	823	JAUR13	3	7321	8	
090607	15:06	823	UR13 almanac	4	4434	reptile	
090607	15:06	823	JAHL07	5	4622	10	
090607	15:06	823	HL07 king	6	2458	king	
090607	15:06	823	JALH05	7	7244	7	
090607	15:06	823	LH05 chain	8	5068	stick	
090607	15:06	823	JALH02	9	25930	9	
090607	15:06	823	LH02 harm	10	3691	harm	
090607	15:06	823	JAUR64	11	11022	6	
090607	15:06	823	UR64 fist	12	3949	number	
090607	15:06	823	JAUR32	13	7218	7	
090607	15:06	823	UR32 navigator	14	3154	thread	
090607	15:06	823	JALH50	15	3049	7	
090607	15:06	823	LH50 measure	16	3315	sum	
090607	15:06	823	JALH27	17	20800	6	
090607	15:06	823	LH27 condition	18	9700	case	
090607	15:06	823	JAHL17	19	10252	5	
090607	15:06	823	HL17 soap	20	2539	soap	
090607	15:06	823	JAUR74	21	11658	7	
090607	15:06	823	UR74 suitcase	22	3725	morning	
090607	15:06	823	JAHL36	23	8125	1	
090607	15:06	823	HL36 football	24	3465	football	
090607	15:06	823	JALH20	25	6099	9	
090607	15:06	823	LH20 violation	26	5681	sex	
090607	15:06	823	JALH54	27	10134	10	
090607	15:06	823	LH54 limit	28	4280	far	
090607	15:06	823	JALH51	29	12441	10	
090607	15:06	823	LH51 exit	30	3129	plug	
090607	15:06	823	JAUR35	31	6589	10	
090607	15:06	823	UR35 cause	32	4034	dark	
090607	15:06	823	JALH19	33	4039	10	
090607	15:06	823	LH19 snob	34	7168	booger	
090607	15:06	823	JAHL51	35	11762	6	
090607	15:06	823	HL51 color	36	7548	color	
090607	15:06	823	JAHL47	37	4434	7	
090607	15:06	823	HL47 horse	38	2909	bull	
090607	15:06	823	JAUR45	39	6747	8	
090607	15:06	823	UR45 bridge	40	3603	wedding	
090607	15:06	823	JAUR69	41	8592	8	
090607	15:06	823	UR69 flashlight	42	2719	sweet	
090607	15:06	823	JAUR76	43	28574	8	
090607	15:06	823	UR76 dignity	44	5470	number	
090607	15:06	823	JALH24	45	5376	8	
090607	15:06	823	LH24 feeling	46	2923	faith	
090607	15:06	823	JAHL53	47	3818	10	
090607	15:06	823	HL53 fish	48	2810	fish	
090607	15:06	823	JAUR55	49	7189	10	
090607	15:06	823	UR55 bargain	50	3520	church	
090607	15:06	823	JAUR50	51	8330	8	
090607	15:06	823	UR50 crane	52	5631	period	
090607	15:06	823	JAHL43	53	4459	8	
090607	15:06	823	HL43 money	54	2615	money	
090607	15:06	823	JALH11	55	7774	7	
090607	15:06	823	LH11 cancer	56	6040	ocean	
090607	15:06	823	JAUR77	57	25547	9	
090607	15:06	823	UR77 uncle	58	3056	lesson	
090607	15:06	823	JAUR27	59	16705	6	
090607	15:06	823	UR27 consequence	60	3703	truth	
090607	15:06	823	JAUR68	61	14214	10	
090607	15:06	823	UR68 fatigue	62	4652	water	
090607	15:06	823	JAUR22	63	6070	8	
090607	15:06	823	UR22 thesaurus	64	8632	chance	
090607	15:06	823	JAUR07	65	8282	7	
090607	15:06	823	UR07 gathering	66	2605	tape	
090607	15:06	823	JAUR95	67	3906	7	
090607	15:06	823	UR95 fool	68	2513	look	
090607	15:06	823	JAUR63	69	9539	7	
090607	15:06	823	UR63 alley	70	2822	pollen	
090607	15:06	823	JAUR06	71	10760	6	
090607	15:06	823	UR06 cello	72	5908	temperature	
090607	15:06	823	JAHL34	73	11279	8	
090607	15:06	823	HL34 hunger	74	3599	hunger	
090607	15:06	823	JAUR66	75	6104	6	
090607	15:06	823	UR66 chief	76	3180	cheese	
090607	15:06	823	JAUR67	77	9624	4	
090607	15:06	823	UR67 producer	78	4593	producer	
090607	15:06	823	JAUR36	79	10811	7	
090607	15:06	823	UR36 denim	80	3880	agreement	
090607	15:06	823	JAUR34	81	22583	9	
090607	15:06	823	UR34 charity	82	6748	info	
090607	15:06	823	JALH14	83	7824	7	
