date	time	subject	trialcode	trialnum	latency	response	
091107	10:55	840	JSPR17	1	32365	5	
091107	10:55	840	PR17 emerald	2	15230	dog	
091107	10:55	840	JSPR27	3	13112	5	
091107	10:55	840	PR27 wheat	4	5788	what	
091107	10:55	840	JSPR07	5	8363	6	
091107	10:55	840	PR07 bog	6	10334	boy	
091107	10:55	840	JSPR23	7	6016	4	
091107	10:55	840	PR23 companion	8	7826	china	
091107	10:55	840	JSPR06	9	10121	7	
091107	10:55	840	PR06 beast	10	15831	bell	
091107	10:55	840	JSPR09	11	10215	5	
091107	10:55	840	PR09 album	12	16187		
091107	10:55	840	JSPR21	13	8015	4	
091107	10:55	840	PR21 innocence	14	18132	ice	
091107	10:55	840	JSPR01	15	8107	6	
091107	10:55	840	PR01 cash	16	7236	nuts	
091107	10:55	840	JSPR11	17	8932	4	
091107	10:55	840	PR11 ounce	18	4431	bounce	
091107	10:55	840	JSPR25	19	4756	4	
091107	10:55	840	PR25 saliva	20	13195	salt	
091107	10:55	840	JSPR30	21	4882	5	
091107	10:55	840	PR30 maiden	22	17749	group	
091107	10:55	840	JSPR03	23	4933	3	
091107	10:55	840	PR03 acre	24	8872	seed	
091107	10:55	840	JSPR13	25	7163	3	
091107	10:55	840	PR13 ambition	26	9856		
091107	10:55	840	JSPR04	27	8104	3	
091107	10:55	840	PR04 diaper	28	16331	ear	
091107	10:55	840	JSPR28	29	12045	4	
091107	10:55	840	PR28 challenge	30	5358	challenge	
091107	10:55	840	JSUR42	1	8116	3	
091107	10:55	840	UR42 sergeant	2	12716	sergeant	
091107	10:55	840	JSUR52	3	6355	3	
091107	10:55	840	UR52 knight	4	3959	knit	
091107	10:55	840	JSLH01	5	6271	4	
091107	10:55	840	LH01 brain	6	2703	brain	
091107	10:55	840	JSHL45	7	10579	5	
091107	10:55	840	HL45 words	8	2722	speak	
091107	10:55	840	JSLH03	9	6070	4	
091107	10:55	840	LH03 yard	10	2149	yard	
091107	10:55	840	JSHL21	11	5804	5	
091107	10:55	840	HL21 empire	12	2347	empire	
091107	10:55	840	JSLH38	13	4897	5	
091107	10:55	840	LH38 paint	14	3267	paint	
091107	10:55	840	JSLH43	15	5207	6	
091107	10:55	840	LH43 noise	16	2293	noise	
091107	10:55	840	JSLH37	17	6701	7	
091107	10:55	840	LH37 pad	18	9048	red	
091107	10:55	840	JSHL07	19	6038	3	
091107	10:55	840	HL07 king	20	1795	king	
091107	10:55	840	JSHL39	21	8164	3	
091107	10:55	840	HL39 book	22	1679	book	
091107	10:55	840	JSLH24	23	16126	3	
091107	10:55	840	LH24 feeling	24	3499	feeling	
091107	10:55	840	JSHL42	25	3769	4	
091107	10:55	840	HL42 pie	26	4855	piece	
091107	10:55	840	JSUR30	27	5913	4	
091107	10:55	840	UR30 lover	28	3322	loaf	
091107	10:55	840	JSUR95	29	5106	5	
091107	10:55	840	UR95 fool	30	6385	dog	
091107	10:55	840	JSLH20	31	4240	5	
091107	10:55	840	LH20 violation	32	7815	victim	
091107	10:55	840	JSUR96	33	6612	4	
091107	10:55	840	UR96 dessert	34	2101	heart	
091107	10:55	840	JSUR66	35	5519	4	
091107	10:55	840	UR66 chief	36	3372	spoon	
091107	10:55	840	JSHL17	37	3190	2	
091107	10:55	840	HL17 soap	38	2301	soap	
091107	10:55	840	JSUR06	39	4236	3	
091107	10:55	840	UR06 cello	40	2229	cell	
091107	10:55	840	JSLH32	41	3403	3	
091107	10:55	840	LH32 capacity	42	7880	cap	
091107	10:55	840	JSUR103	43	5855	4	
091107	10:55	840	UR103 hula	44	2850	laugh	
091107	10:55	840	JSHL23	45	3805	2	
091107	10:55	840	HL23 baby	46	2191	baby	
091107	10:55	840	JSUR63	47	3037	2	
091107	10:55	840	UR63 alley	48	3049	alley	
091107	10:55	840	JSLH11	49	2516	3	
091107	10:55	840	LH11 cancer	50	3685	crab	
091107	10:55	840	JSHL03	51	2926	4	
091107	10:55	840	HL03 cigarette	52	10686	dog	
091107	10:55	840	JSUR28	53	4572	3	
091107	10:55	840	UR28 bang	54	1736	bang	
091107	10:55	840	JSLH04	55	2400	3	
