date	time	subject	trialcode	trialnum	latency	response
091212	14:59	525922929	article	1	13717	newspaper
091212	14:59	525922929	lost	2	9515	tv show
091212	14:59	525922929	old	3	8711	man
091212	14:59	525922929	prac6	1	12177	5
091212	14:59	525922929	prac3	2	3411	4
091212	14:59	525922929	prac1	3	3792	4
091212	14:59	525922929	prac2	4	2391	9
091212	14:59	525922929	prac4	5	2814	9
091212	14:59	525922929	prac8	6	4867	7
091212	14:59	525922929	prac5	7	5711	4
091212	14:59	525922929	prac7	8	1961	5
091212	14:59	525922929	real33	1	5694	7
091212	14:59	525922929	real35	2	6552	5
091212	14:59	525922929	real79	3	1554	5
091212	14:59	525922929	real18	4	3633	7
091212	14:59	525922929	confidence	5	6814	7
091212	14:59	525922929	real24	6	6645	6
091212	14:59	525922929	real54	7	6634	8
091212	14:59	525922929	real48	8	3368	5
091212	14:59	525922929	real6	9	2447	7
091212	14:59	525922929	confidence	10	5355	7
091212	14:59	525922929	real7	11	2372	9
091212	14:59	525922929	real68	12	3059	7
091212	14:59	525922929	real38	13	4671	6
091212	14:59	525922929	real58	14	5659	7
091212	14:59	525922929	confidence	15	4199	7
091212	14:59	525922929	real86	16	4630	8
091212	14:59	525922929	real17	17	2371	8
091212	14:59	525922929	real71	18	2082	8
091212	14:59	525922929	real66	19	1956	8
091212	14:59	525922929	confidence	20	1324	8
091212	14:59	525922929	real19	21	1781	8
091212	14:59	525922929	real67	22	1611	7
091212	14:59	525922929	real32	23	2392	9
091212	14:59	525922929	real43	24	3590	6
091212	14:59	525922929	confidence	25	1941	6
091212	14:59	525922929	real93	26	2444	8
091212	14:59	525922929	real15	27	2289	5
091212	14:59	525922929	real16	28	3539	6
091212	14:59	525922929	real61	29	2077	9
091212	14:59	525922929	confidence	30	2015	8
091212	14:59	525922929	real44	31	3892	8
091212	14:59	525922929	real88	32	2735	6
091212	14:59	525922929	real69	33	1944	7
091212	14:59	525922929	real34	34	3447	10
091212	14:59	525922929	confidence	35	2595	10
091212	14:59	525922929	real13	36	1841	8
091212	14:59	525922929	real56	37	2422	7
091212	14:59	525922929	real80	38	2651	8
091212	14:59	525922929	real36	39	3558	6
091212	14:59	525922929	confidence	40	3087	5
091212	14:59	525922929	real62	41	1665	7
091212	14:59	525922929	real75	42	3348	8
091212	14:59	525922929	real39	43	3236	8
091212	14:59	525922929	real26	44	2841	6
091212	14:59	525922929	confidence	45	2038	7
091212	14:59	525922929	real37	46	5346	8
091212	14:59	525922929	real90	47	1651	7
091212	14:59	525922929	real72	48	2854	8
091212	14:59	525922929	real30	49	1883	9
091212	14:59	525922929	confidence	50	2277	7
091212	14:59	525922929	real77	51	2328	8
091212	14:59	525922929	real59	52	2600	6
091212	14:59	525922929	real73	53	2342	8
091212	14:59	525922929	real89	54	4254	8
091212	14:59	525922929	confidence	55	1787	8
091212	14:59	525922929	real82	56	6929	8
091212	14:59	525922929	real94	57	2131	8
091212	14:59	525922929	real64	58	2012	9
091212	14:59	525922929	real20	59	3841	9
091212	14:59	525922929	confidence	60	3758	8
091212	14:59	525922929	real5	61	6630	10
091212	14:59	525922929	real40	62	2900	9
091212	14:59	525922929	real22	63	1886	9
091212	14:59	525922929	real25	64	3568	7
091212	14:59	525922929	confidence	65	1711	8
091212	14:59	525922929	real9	66	2512	9
091212	14:59	525922929	real53	67	4466	9
091212	14:59	525922929	real60	68	4781	7
091212	14:59	525922929	real92	69	2565	8
091212	14:59	525922929	confidence	70	1860	8
091212	14:59	525922929	real91	71	9703	8
091212	14:59	525922929	real8	72	3860	6
091212	14:59	525922929	real4	73	3079	7
091212	14:59	525922929	real49	74	3410	10
091212	14:59	525922929	confidence	75	4111	9
091212	14:59	525922929	real31	76	3665	7
091212	14:59	525922929	real55	77	3045	8
091212	14:59	525922929	real14	78	4537	9
091212	14:59	525922929	real42	79	4041	8
091212	14:59	525922929	confidence	80	2847	6
091212	14:59	525922929	real50	81	1579	7
091212	14:59	525922929	real12	82	2425	9
091212	14:59	525922929	real11	83	7374	9
091212	14:59	525922929	real65	84	3031	7
091212	14:59	525922929	confidence	85	2340	6
091212	14:59	525922929	real95	86	3468	9
091212	14:59	525922929	real52	87	4624	5
091212	14:59	525922929	real78	88	9293	6
091212	14:59	525922929	real81	89	2090	7
091212	14:59	525922929	confidence	90	2140	6
091212	14:59	525922929	real76	91	2364	8
091212	14:59	525922929	real45	92	2580	6
091212	14:59	525922929	real29	93	7162	8
091212	14:59	525922929	real83	94	4483	8
091212	14:59	525922929	confidence	95	2774	9
091212	14:59	525922929	real51	96	2005	8
091212	14:59	525922929	real74	97	1483	9
091212	14:59	525922929	real1	98	1661	10
091212	14:59	525922929	real63	99	1784	9
091212	14:59	525922929	confidence	100	2374	8
091212	14:59	525922929	real41	101	2437	7
091212	14:59	525922929	real57	102	3050	9
091212	14:59	525922929	real70	103	9502	8
091212	14:59	525922929	real10	104	2546	4
091212	14:59	525922929	confidence	105	2018	8
091212	14:59	525922929	real28	106	3247	9
091212	14:59	525922929	real27	107	5851	8
091212	14:59	525922929	real84	108	4384	7
091212	14:59	525922929	real87	109	1519	8
091212	14:59	525922929	confidence	110	1888	8
091212	14:59	525922929	real2	111	3490	5
091212	14:59	525922929	real3	112	3949	5
091212	14:59	525922929	real21	113	4837	9
091212	14:59	525922929	real23	114	4163	9
091212	14:59	525922929	confidence	115	1739	10
091212	14:59	525922929	real96	116	3411	5
091212	14:59	525922929	real46	117	2128	9
091212	14:59	525922929	real47	118	1984	8
091212	14:59	525922929	real85	119	2655	8
091212	14:59	525922929	confidence	120	1931	7
091212	14:59	525922929	followup1	1	54630	4
091212	14:59	525922929	followup2	2	21708	1
091312	12:01	4566	lost	1	7985	found
091312	12:01	4566	article	2	6250	newspaper
091312	12:01	4566	old	3	5143	young
091312	12:01	4566	prac3	1	13355	6
091312	12:01	4566	prac2	2	5023	8
091312	12:01	4566	prac4	3	4389	4
091312	12:01	4566	prac1	4	7036	4
091312	12:01	4566	prac7	5	5370	5
091312	12:01	4566	prac6	6	5562	9
091312	12:01	4566	prac5	7	4755	4
091312	12:01	4566	prac8	8	3899	8
091312	12:01	4566	real33	1	13253	9
091312	12:01	4566	real35	2	4965	6
